Ver1.3	125618438	StartFile	6/30/2020	10:12:42 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\063020\SoundData.txt	125618438
125734082	Triggered	7,	 NoSound	40	2	125734082
125739315	Triggered	8,52,53,54,55,56,	 NoSound	40	2	125739315
125739516	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	125739516
125740472	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	125740472
125740911	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	125740911
125741451	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	125741451
125742096	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	125742096
125755740	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	125755740
125755941	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	125755941
125803331	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	125803331
125838770	Triggered	6,47,48,49,50,51,	 NoSound	40	2	125838770
125838972	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	125838972
125862605	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	125862605
125868071	Triggered	6,47,48,49,50,51,	 NoSound	40	2	125868071
125868272	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	125868272
125881012	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	125881012
125885339	Triggered	6,47,48,49,50,51,	 NoSound	40	2	125885339
125885542	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	125885542
125897621	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	125897621
125901522	Triggered	4,42,43,44,45,46,	 NoSound	40	2	125901522
125901734	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	125901734
125912412	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	125912412
125912613	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	125912613
125916324	Triggered	6,47,48,49,50,51,	 NoSound	40	2	125916324
125916526	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	125916526
125925831	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	125925831
125926032	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	125926032
125941352	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	125941352
125944601	Triggered	2,37,38,39,40,41,	 NoSound	40	2	125944601
125944803	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	125944803
125953626	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	125953626
125957176	Triggered	8,52,53,54,55,56,	 NoSound	40	2	125957176
125967343	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	125967343
125970653	Triggered	2,37,38,39,40,41,	 NoSound	40	2	125970653
125970854	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	125970854
125980222	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	125980222
125983709	Triggered	2,37,38,39,40,41,	 NoSound	40	2	125983709
125983910	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	125983910
125993034	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	125993034
125993238	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	125993238
125996585	Triggered	2,37,38,39,40,41,	 NoSound	40	2	125996585
125996787	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	125996787
126005248	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126005248
126005463	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	126005463
126008798	Triggered	2,37,38,39,40,41,	 NoSound	40	2	126008798
126009000	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	126009000
126019327	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126019327
126019528	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	126019528
126023364	Triggered	8,52,53,54,55,56,	 NoSound	40	2	126023364
126030520	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126030520
126030723	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	126030723
126034729	Triggered	2,37,38,39,40,41,	 NoSound	40	2	126034729
126034932	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	126034932
126042370	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126042370
126042572	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	126042572
126046042	Triggered	2,37,38,39,40,41,	 NoSound	40	2	126046042
126046242	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	126046242
126053562	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126053562
126053764	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	126053764
126057594	Triggered	8,52,53,54,55,56,	 NoSound	40	2	126057594
126064271	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126064271
126064471	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	126064471
126077387	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	126077387
126081059	Triggered	6,47,48,49,50,51,	 NoSound	40	2	126081059
126086833	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	126086833
126092007	Triggered	4,42,43,44,45,46,	 NoSound	40	2	126092007
126092209	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	126092209
126101875	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	126101875
126105726	Triggered	4,42,43,44,45,46,	 NoSound	40	2	126105726
126105927	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	126105927
126114631	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	126114631
126117818	Triggered	4,42,43,44,45,46,	 NoSound	40	2	126117818
126118020	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	126118020
126129009	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	126129009
126129211	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	126129211
126132077	Triggered	4,42,43,44,45,46,	 NoSound	40	2	126132077
126132279	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	126132279
126142246	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	126142246
126142447	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	126142447
126154160	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126154160
126157297	Triggered	8,52,53,54,55,56,	 NoSound	40	2	126157297
126157499	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	126157499
126177324	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	126177324
