Ver1.3	74765726	StartFile	8/20/2020	3:52:14 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082020B\SoundData.txt	74765726
75067296	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	75067296
75067497	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	75067497
75088641	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	75088641
75088846	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	75088846
75091890	Triggered	4,42,43,44,45,46,	 NoSound	40	2	75091890
75092093	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	75092093
75102720	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	75102720
75102925	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	75102925
75105548	Triggered	4,42,43,44,45,46,	 NoSound	40	2	75105548
75105750	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	75105750
75117761	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	75117761
75117965	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	75117965
75120468	Triggered	4,42,43,44,45,46,	 NoSound	40	2	75120468
75120671	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	75120671
75132321	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	75132321
75132525	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	75132525
75134970	Triggered	4,42,43,44,45,46,	 NoSound	40	2	75134970
75135172	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	75135172
75146940	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	75146940
75147145	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	75147145
75149470	Triggered	4,42,43,44,45,46,	 NoSound	40	2	75149470
75149673	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	75149673
75163668	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	75163668
75163872	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	75163872
75166074	Triggered	4,42,43,44,45,46,	 NoSound	40	2	75166074
