Ver1.3	111972973	StartFile	7/26/2020	7:10:31 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\072620B\SoundData.txt	111972973
112347335	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112347335
112347536	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	112347536
112350543	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112350543
112350745	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	112350745
112361504	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112361504
112361707	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	112361707
112364445	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112364445
112364647	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	112364647
112375809	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112375809
112376009	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	112376009
112390648	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112390648
112393923	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112393923
112394125	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112394125
112405485	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112405485
112405690	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112405690
112408426	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112408426
112408627	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112408627
112419254	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112419254
112419457	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112419457
112421862	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112421862
112422065	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112422065
112434961	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112434961
112435176	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112435176
112437501	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112437501
112437703	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112437703
112449135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112449135
112449340	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112449340
112451538	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112451538
112451740	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112451740
112462834	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112462834
112463038	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112463038
112465710	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112465710
112465912	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112465912
112477205	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112477205
112477409	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112477409
112479545	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112479545
112479746	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112479746
112493380	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112493380
112493584	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112493584
112495920	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112495920
112496122	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112496122
112508285	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112508285
112508490	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112508490
112512230	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112512230
112512432	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112512432
