Ver1.2	2651609116	StartFile	4/13/2020	11:07:44 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\041320\SoundData.txt	2651609116
2651783220	Triggered	8	 NoSound	50	2	2651783220
2651855292	Triggered	5	 Modulated Tone	25	2	2651855292
2651966588	Triggered	8	 NoSound	50	2	2651966588
2651990516	Triggered	4	 NoSound	50	2	2651990516
2652026479	Triggered	3	 NoSound	50	2	2652026479
2652029148	Triggered	2	 NoSound	50	2	2652029148
2652039638	Triggered	4	 NoSound	50	2	2652039638
2652108015	Triggered	5	 Modulated Tone	25	2	2652108015
2652114366	Triggered	8	 NoSound	50	2	2652114366
2652128471	Triggered	5	 Modulated Tone	25	2	2652128471
2652136692	Triggered	1	 Modulated Tone	25	2	2652136692
2652201730	Triggered	8	 NoSound	50	2	2652201730
2652208612	Triggered	6	 NoSound	50	2	2652208612
2652252459	Triggered	8	 NoSound	50	2	2652252459
2652261088	Triggered	5	 Modulated Tone	25	2	2652261088
2652266502	Triggered	2	 NoSound	50	2	2652266502
2652280204	Triggered	5	 Modulated Tone	25	2	2652280204
2652285545	Triggered	2	 NoSound	50	2	2652285545
2652295374	Triggered	5	 Modulated Tone	25	2	2652295374
2652302057	Triggered	2	 NoSound	50	2	2652302057
2652312890	Triggered	5	 Modulated Tone	25	2	2652312890
2652326118	Triggered	2	 NoSound	50	2	2652326118
2652335686	Triggered	5	 Modulated Tone	25	2	2652335686
2652420432	Triggered	2	 NoSound	50	2	2652420432
2652429720	Triggered	5	 Modulated Tone	25	2	2652429720
2652435946	Triggered	2	 NoSound	50	2	2652435946
2652445764	Triggered	5	 Modulated Tone	25	2	2652445764
2652451713	Triggered	1	 Modulated Tone	25	2	2652451713
2652455795	Triggered	6	 NoSound	50	2	2652455795
2652466351	Triggered	1	 Modulated Tone	25	2	2652466351
2652470969	Triggered	6	 NoSound	50	2	2652470969
2652481725	Triggered	1	 Modulated Tone	25	2	2652481725
2652486536	Triggered	6	 NoSound	50	2	2652486536
2652499043	Triggered	1	 Modulated Tone	25	2	2652499043
2652503515	Triggered	4	 NoSound	50	2	2652503515
2652525036	Triggered	1	 Modulated Tone	25	2	2652525036
2652529454	Triggered	4	 NoSound	50	2	2652529454
2652573695	Triggered	1	 Modulated Tone	25	2	2652573695
2652578042	Triggered	4	 NoSound	50	2	2652578042
2652595353	Triggered	1	 Modulated Tone	25	2	2652595353
2652599430	Triggered	4	 NoSound	50	2	2652599430
2652621020	Triggered	1	 Modulated Tone	25	2	2652621020
2652624630	Triggered	4	 NoSound	50	2	2652624630
2652638598	Triggered	1	 Modulated Tone	25	2	2652638598
2652642742	Triggered	4	 NoSound	50	2	2652642742
2652654707	Triggered	1	 Modulated Tone	25	2	2652654707
2652660321	Triggered	5	 Modulated Tone	25	2	2652660321
2652664603	Triggered	2	 NoSound	50	2	2652664603
2652671817	Triggered	5	 Modulated Tone	25	2	2652671817
2652691272	Triggered	2	 NoSound	50	2	2652691272
2652697619	Triggered	4	 NoSound	50	2	2652697619
2652703970	Triggered	5	 Modulated Tone	25	2	2652703970
2652708586	Triggered	2	 NoSound	50	2	2652708586
2652714797	Triggered	4	 NoSound	50	2	2652714797
2652719877	Triggered	5	 Modulated Tone	25	2	2652719877
2652723820	Triggered	8	 NoSound	50	2	2652723820
2652735453	Triggered	5	 Modulated Tone	25	2	2652735453
2652739597	Triggered	8	 NoSound	50	2	2652739597
2652749893	Triggered	5	 Modulated Tone	25	2	2652749893
2652753966	Triggered	8	 NoSound	50	2	2652753966
2652761456	Triggered	5	 Modulated Tone	25	2	2652761456
2652766465	Triggered	8	 NoSound	50	2	2652766465
2652773956	Triggered	5	 Modulated Tone	25	2	2652773956
