Ver1.3	2385007878	StartFile	2/9/2021	2:00:40 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\020921\SoundData.txt	2385007878
2385294332	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2385294332
2385294534	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	2385294534
2385306288	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385306288
2385310835	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385310835
2385311038	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385311038
2385330959	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385330959
2385333559	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385333559
2385333761	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385333761
2385350335	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385350335
2385352675	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385352675
2385352877	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385352877
2385369386	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385369386
2385369589	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385369589
2385372260	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385372260
2385372462	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385372462
2385387432	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385387432
2385387634	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385387634
2385391978	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385391978
2385392189	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385392189
2385405747	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385405747
2385405950	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385405950
2385408555	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385408555
2385408757	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385408757
2385423466	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385423466
2385423668	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385423668
2385426208	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385426208
2385426410	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385426410
2385439034	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385439034
2385439237	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385439237
2385441374	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385441374
2385441576	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385441576
2385455410	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385455410
2385455613	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385455613
2385458418	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385458418
2385458620	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385458620
2385471986	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385471986
2385472189	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385472189
2385474593	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385474593
2385474796	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385474796
2385489231	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385489231
2385489434	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385489434
2385491774	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385491774
2385491976	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385491976
2385506210	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385506210
2385506412	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	2385506412
2385509684	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385509684
2385509887	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385509887
2385523854	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385523854
2385524057	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	2385524057
2385527198	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385527198
2385527400	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385527400
2385542104	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385542104
2385542307	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	2385542307
2385544576	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385544576
2385544788	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385544788
2385558811	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385558811
2385559013	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	2385559013
2385561287	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385561287
2385561490	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385561490
2385574788	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385574788
2385574989	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	2385574989
2385577327	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385577327
2385577530	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	2385577530
2385599519	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2385599519
2385599720	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	2385599720
2385602526	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2385602526
