1	1	0
9	0	0	0	1
1	90	0	0	1
4	90	1	0	3
1	90	0	0	1
4	90	1	0	3
1	90	0	0	1
4	90	1	0	3
1	90	0	0	1
467	90	1	0	312
1	90	0	0	1
5	90	0	0	1
2	90	1	0	3
5	90	0	0	1
2	90	1	0	3
5	90	0	0	1
2	90	1	0	3
5	90	0	0	1
827	90	1	0	231
5	90	0	0	1
82	90	1	0	23
5	90	0	0	1
82	90	1	0	23
5	90	0	0	1
82	90	1	0	23
5	90	0	0	1
82	90	1	0	23
5	90	0	0	1
82	90	1	0	23
5	90	0	0	1
1	90	0	0	1
6	90	1	0	3
1	90	0	0	1
6	90	1	0	3
1	90	0	0	1
6	90	1	0	3
1	90	0	0	1
643	90	1	0	325
1	90	0	0	1
5	90	0	0	1
2	90	1	0	0
5	90	0	0	1
2	90	1	0	0
5	90	0	0	1
2	90	1	0	0
5	90	0	0	1
82	90	1	0	10
5	90	0	0	1
82	90	1	0	10
5	90	0	0	1
82	90	1	0	10
5	90	0	0	1
82	90	1	0	10
5	90	0	0	1
82	90	1	0	10
5	90	0	0	1
82	90	1	0	10
5	90	0	0	1
1	90	0	0	1
4	90	1	0	5
1	90	0	0	1
4	90	1	0	5
1	90	0	0	1
4	90	1	0	5
1	90	0	0	1
46	90	1	0	51
1	90	0	0	1
5	90	0	0	1
2	90	1	0	5
5	90	0	0	1
2	90	1	0	5
5	90	0	0	1
2	90	1	0	5
5	90	0	0	1
82	90	1	0	25
5	90	0	0	1
82	90	1	0	25
5	90	0	0	1
82	90	1	0	25
5	90	0	0	1
82	90	1	0	25
5	90	0	0	1
82	90	1	0	25
5	90	0	0	1
82	90	1	0	25
5	90	0	0	1
1	90	0	0	1
4	90	1	0	3
1	90	0	0	1
4	90	1	0	3
1	90	0	0	1
4	90	1	0	3
1	90	0	0	1
64	90	1	0	13
1	90	0	0	1
5	90	0	0	1
8	90	1	0	0
5	90	0	0	1
8	90	1	0	0
5	90	0	0	1
8	90	1	0	0
5	90	0	0	1
287	90	1	0	103
5	90	0	0	1
28	90	1	0	10
5	90	0	0	1
28	90	1	0	10
5	90	0	0	1
28	90	1	0	10
5	90	0	0	1
28	90	1	0	10
5	90	0	0	1
28	90	1	0	10
5	90	0	0	1
1	90	0	0	1
6	90	1	0	5
1	90	0	0	1
6	90	1	0	5
1	90	0	0	1
6	90	1	0	5
1	90	0	0	1
463	90	1	0	153
1	90	0	0	1
5	90	0	0	1
2	90	1	0	5
5	90	0	0	1
2	90	1	0	5
5	90	0	0	1
2	90	1	0	5
5	90	0	0	1
283	90	1	0	521
5	90	0	0	1
28	90	1	0	52
5	90	0	0	1
28	90	1	0	52
5	90	0	0	1
28	90	1	0	52
