Ver1.3	494285890	StartFile	12/15/2020	11:42:44 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\121520\SoundData.txt	494285890
495079806	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	495079806
495080008	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	495080008
495114097	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495114097
495150390	Triggered	4,42,43,44,45,46,	 NoSound	40	2	495150390
495150594	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	495150594
495199117	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495199117
495395763	Triggered	4,42,43,44,45,46,	 NoSound	40	2	495395763
495395966	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	495395966
495798280	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	495798280
496469360	Triggered	4,42,43,44,45,46,	 NoSound	40	2	496469360
496469562	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	496469562
496551641	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	496551641
496551844	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	496551844
496846409	Triggered	4,42,43,44,45,46,	 NoSound	40	2	496846409
496846612	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	496846612
496933502	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	496933502
496933705	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	496933705
