Ver1.3	1090030540	StartFile	9/1/2020	9:53:19 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\090120\SoundData.txt	1090030540
1090426794	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1090426794
1090426996	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1090426996
1090666685	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1090666685
1091525523	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091525523
1091525724	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1091525724
1091546979	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091546979
1091701315	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091701315
1091701515	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1091701515
1091714219	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091714219
1091721500	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1091721500
1091727717	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091727717
1091763610	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1091763610
1091768758	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091768758
1091768963	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1091768963
1092920492	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092920492
1092920693	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1092920693
1092939876	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092939876
1092940079	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1092940079
