Ver1.3	1638302345	StartFile	8/13/2020	11:09:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\081320A\SoundData.txt	1638302345
1638566345	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638566345
1638566558	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1638566558
1638579112	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638579112
1638584058	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638584058
1638584259	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1638584259
1638591812	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638591812
1638592016	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1638592016
1638595687	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638595687
1638595889	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1638595889
1638602105	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638602105
1638602310	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1638602310
1638606115	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638606115
1638619550	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638619550
1638619751	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1638619751
1638626167	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638626167
1638626367	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1638626367
1638632384	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638632384
1638632586	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1638632586
1638636795	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638636795
1638636996	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1638636996
1638643212	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638643212
1638643414	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1638643414
1638647824	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638647824
1638652442	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638652442
1638652645	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1638652645
1638656513	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638656513
1638656714	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1638656714
1638662797	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638662797
1638662997	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1638662997
1638674227	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638674227
1638678304	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1638678304
1638678505	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1638678505
1638687194	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638687194
1638687397	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1638687397
1638691338	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1638691338
1638691538	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1638691538
1638700695	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638700695
1638700908	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1638700908
1638713998	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638713998
1638716937	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638716937
1638717139	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638717139
1638726295	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638726295
1638726498	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1638726498
1638728836	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638728836
1638729037	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638729037
1638737123	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638737123
1638737326	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1638737326
1638739462	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638739462
1638739664	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638739664
1638748620	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638748620
1638748822	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1638748822
1638750832	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638750832
1638751034	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638751034
1638760653	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638760653
1638760855	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1638760855
1638763057	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638763057
1638763258	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638763258
1638771881	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638771881
1638772082	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1638772082
1638775022	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638775022
1638775224	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638775224
1638783978	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638783978
1638784180	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1638784180
1638787521	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638787521
1638787723	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1638787723
1638801495	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638801495
1638801697	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1638801697
1638814393	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638814393
1638817601	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1638817601
1638817814	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1638817814
1638824417	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638824417
1638824619	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1638824619
1638827961	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1638827961
1638828162	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1638828162
1638837652	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638837652
1638837853	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1638837853
1638853827	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638853827
1638854032	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638854032
1638863587	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638863587
1638863789	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1638863789
1638865667	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638865667
1638865868	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638865868
1638874281	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638874281
1638874484	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1638874484
1638876619	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638876619
1638876821	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638876821
1638885578	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638885578
1638885780	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1638885780
1638887784	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1638887784
1638887985	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1638887985
1638901019	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638901019
1638901221	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1638901221
1638904493	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638904493
1638904708	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1638904708
1638913317	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638913317
1638913519	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1638913519
1638916928	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638916928
1638917130	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1638917130
1638925280	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638925280
1638925482	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1638925482
1638928155	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638928155
1638928355	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1638928355
1638936645	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638936645
1638936846	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1638936846
1638953420	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1638953420
1638953623	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1638953623
1638962510	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638962510
1638962712	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1638962712
1638966053	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1638966053
1638966254	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1638966254
1638972607	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1638972607
1638972810	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1638972810
1638983633	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638983633
1638986239	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1638986239
1638986441	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1638986441
1638998544	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1638998544
1638998748	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1638998748
1639001077	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1639001077
1639001294	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1639001294
1639011572	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1639011572
1639011774	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1639011774
1639013912	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1639013912
1639014126	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1639014126
1639024807	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1639024807
1639025008	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1639025008
1639026945	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1639026945
1639027147	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1639027147
1639041523	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1639041523
1639041727	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1639041727
1639060166	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1639060166
1639060368	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1639060368
1639072799	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1639072799
1639073002	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1639073002
1639075740	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1639075740
1639075941	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1639075941
1639087639	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1639087639
1639087840	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1639087840
1639090711	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1639090711
