Ver1.3	484442426	StartFile	8/25/2020	9:40:11 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\082520A\SoundData.txt	484442426
484871398	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	484871398
484871600	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	484871600
485002472	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485002472
485010495	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485010495
485010698	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485010698
485030817	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485030817
485036026	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485036026
485036238	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485036238
485053606	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485053606
485058418	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485058418
485058621	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485058621
485075195	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485075195
485075402	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	485075402
485080476	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485080476
485080678	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485080678
485095715	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485095715
485095918	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	485095918
485099805	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485099805
485100008	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485100008
485115167	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485115167
485115371	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	485115371
485118776	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485118776
485118990	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485118990
485134684	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485134684
485134887	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	485134887
485138829	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485138829
485139030	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485139030
485152797	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485152797
485153000	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	485153000
485157476	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485157476
485157679	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485157679
485171180	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485171180
485171383	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	485171383
485176126	Triggered	4,42,43,44,45,46,	 NoSound	40	2	485176126
485176329	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	485176329
485190097	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	485190097
485190297	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	485190297
485206205	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	485206205
485212019	Triggered	8,52,53,54,55,56,	 NoSound	40	2	485212019
485212223	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	485212223
485227326	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	485227326
485231136	Triggered	8,52,53,54,55,56,	 NoSound	40	2	485231136
485231339	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	485231339
485245640	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	485245640
