Ver1.3	422589061	StartFile	12/14/2020	3:47:47 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\121420\SoundData.txt	422589061
423204668	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	423204668
423204870	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	423204870
423261083	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	423261083
423261285	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	423261285
423271441	Triggered	4,42,43,44,45,46,	 NoSound	40	2	423271441
423846472	Triggered	6,47,48,49,50,51,	 NoSound	40	2	423846472
423846673	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	423846673
423867194	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	423867194
423867396	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	423867396
423894598	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	423894598
423894806	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	423894806
423905895	Triggered	2,37,38,39,40,41,	 NoSound	40	2	423905895
423906096	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	423906096
424145923	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	424145923
424146126	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	424146126
424159755	Triggered	2,37,38,39,40,41,	 NoSound	40	2	424159755
424159957	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	424159957
424186825	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	424186825
424187029	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	424187029
424203075	Triggered	8,52,53,54,55,56,	 NoSound	40	2	424203075
424218310	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	424218310
424218514	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	424218514
424224190	Triggered	2,37,38,39,40,41,	 NoSound	40	2	424224190
424224390	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	424224390
424382743	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	424382743
424382945	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	424382945
424408537	Triggered	2,37,38,39,40,41,	 NoSound	40	2	424408537
424408738	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	424408738
