Ver1.3	1482730894	StartFile	8/11/2020	3:56:29 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\081120B\SoundData.txt	1482730894
1482955071	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1482955071
1482955273	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1482955273
1482973519	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1482973519
1482977597	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1482977597
1482977799	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1482977799
1482994040	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1482994040
1482994242	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1482994242
1482997316	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1482997316
1482997517	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1482997517
1483013424	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483013424
1483013626	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1483013626
1483016570	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483016570
1483016771	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483016771
1483030601	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483030601
1483030803	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1483030803
1483034078	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483034078
1483034278	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483034278
1483048047	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483048047
1483048249	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1483048249
1483051524	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483051524
1483051724	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483051724
1483064357	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483064357
1483064559	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1483064559
1483067832	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483067832
1483068034	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483068034
1483080667	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483080667
1483080869	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1483080869
1483084276	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483084276
1483084477	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483084477
1483097709	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483097709
1483097909	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1483097909
1483111745	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1483111745
1483115021	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1483115021
1483115223	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1483115223
1483125248	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1483125248
1483125450	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1483125450
1483128657	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1483128657
1483128859	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1483128859
1483138749	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1483138749
1483138952	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1483138952
1483151181	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483151181
1483154791	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1483154791
1483155003	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1483155003
1483162746	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483162746
1483162950	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1483162950
1483165821	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483165821
1483166021	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483166021
1483182063	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483182063
1483182266	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1483182266
1483184870	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483184870
1483185071	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483185071
1483198906	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483198906
1483199110	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1483199110
1483201981	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483201981
1483202183	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483202183
1483214815	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483214815
1483215016	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1483215016
1483217824	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483217824
1483218024	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483218024
1483230723	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483230723
1483230926	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1483230926
1483234138	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483234138
1483234339	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483234339
1483246765	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483246765
1483246966	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1483246966
1483250441	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1483250441
1483250642	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1483250642
1483265279	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1483265279
1483265479	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1483265479
1483275513	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1483275513
1483278982	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1483278982
1483279183	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1483279183
