Ver1.3	261854461	StartFile	7/28/2020	12:48:33 PM	E:\BehavioralExperiments\Gerald\RawData\072820\SoundData.txt	261854461
261951190	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	261951190
261962130	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	261962130
261976090	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	261976090
261985956	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	261985956
261995643	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	261995643
262005873	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262005873
262018326	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	262018326
262030539	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262030539
262043414	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	262043414
262051786	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262051786
262066397	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	262066397
262076505	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	262076505
262087095	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262087095
262100330	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	262100330
262110018	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	262110018
262119944	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262119944
262152013	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	262152013
262162543	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262162543
262176020	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	262176020
262191361	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	262191361
262216452	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	262216452
263264961	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	263264961
263411163	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	263411163
263499607	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	263499607
263510918	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	263510918
