Ver1.3	1310572839	StartFile	8/9/2020	4:07:11 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\080920\SoundData.txt	1310572839
1311063899	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1311063899
1311064102	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1311064102
1311080743	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311080743
1311087827	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311087827
1311088027	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311088027
1311105340	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311105340
1311105543	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1311105543
1311108882	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311108882
1311109096	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311109096
1311122585	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311122585
1311122787	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1311122787
1311125927	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311125927
1311126140	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311126140
1311139229	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311139229
1311139432	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1311139432
1311142104	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311142104
1311142304	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311142304
1311154210	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311154210
1311154411	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1311154411
1311156941	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311156941
1311157142	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311157142
1311174186	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311174186
1311174388	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1311174388
1311176859	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311176859
1311177060	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311177060
1311189492	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311189492
1311189694	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1311189694
1311192500	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311192500
1311192701	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1311192701
1311204665	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311204665
1311204866	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1311204866
1311215694	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1311215694
1311219036	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1311219036
1311219236	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1311219236
1311229263	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1311229263
1311229465	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1311229465
1311232887	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1311232887
1311233089	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1311233089
1311242765	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1311242765
1311242965	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1311242965
1311271973	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311271973
1311275983	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1311275983
1311276184	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1311276184
1311286411	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311286411
1311286628	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1311286628
1311289753	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311289753
1311289953	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1311289953
1311307198	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311307198
1311307400	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1311307400
1311310673	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1311310673
1311310876	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1311310876
1311321368	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311321368
1311321572	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1311321572
1311324978	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311324978
1311325192	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1311325192
1311334469	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1311334469
1311334672	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1311334672
1311337277	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1311337277
1311337477	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1311337477
