Ver1.2	1121427924	StartFile	2/7/2020	10:54:02 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\020720\SoundData.txt	1121427924
1121583528	Triggered	4	 NoSound	50	2	1121583528
1121590012	Triggered	2	 NoSound	50	2	1121590012
1121596900	Triggered	1	 Modulated Tone	25	2	1121596900
1121602243	Triggered	6	 NoSound	50	2	1121602243
1121625985	Triggered	1	 Modulated Tone	25	2	1121625985
1121630986	Triggered	4	 NoSound	50	2	1121630986
1121639743	Triggered	1	 Modulated Tone	25	2	1121639743
1121644621	Triggered	6	 NoSound	50	2	1121644621
1121663338	Triggered	1	 Modulated Tone	25	2	1121663338
1121669085	Triggered	4	 NoSound	50	2	1121669085
1121677708	Triggered	1	 Modulated Tone	25	2	1121677708
1121682991	Triggered	6	 NoSound	50	2	1121682991
1121701169	Triggered	1	 Modulated Tone	25	2	1121701169
1121716741	Triggered	4	 NoSound	50	2	1121716741
1121723896	Triggered	1	 Modulated Tone	25	2	1121723896
1121728706	Triggered	6	 NoSound	50	2	1121728706
1121746486	Triggered	1	 Modulated Tone	25	2	1121746486
1121751237	Triggered	6	 NoSound	50	2	1121751237
1121768679	Triggered	1	 Modulated Tone	25	2	1121768679
1121775496	Triggered	6	 NoSound	50	2	1121775496
1121794947	Triggered	1	 Modulated Tone	25	2	1121794947
1121799291	Triggered	6	 NoSound	50	2	1121799291
1121818347	Triggered	1	 Modulated Tone	25	2	1121818347
1121823821	Triggered	4	 NoSound	50	2	1121823821
1121832313	Triggered	1	 Modulated Tone	25	2	1121832313
1121836457	Triggered	6	 NoSound	50	2	1121836457
1121855904	Triggered	1	 Modulated Tone	25	2	1121855904
1121862121	Triggered	6	 NoSound	50	2	1121862121
1121868564	Triggered	5	 Modulated Tone	25	2	1121868564
1121872883	Triggered	8	 NoSound	50	2	1121872883
1121883041	Triggered	5	 Modulated Tone	25	2	1121883041
1121887722	Triggered	2	 NoSound	50	2	1121887722
1121904766	Triggered	1	 Modulated Tone	25	2	1121904766
1121919738	Triggered	6	 NoSound	50	2	1121919738
1121924219	Triggered	5	 Modulated Tone	25	2	1121924219
1121927558	Triggered	8	 NoSound	50	2	1121927558
1121934643	Triggered	5	 Modulated Tone	25	2	1121934643
1121938524	Triggered	2	 NoSound	50	2	1121938524
1121953292	Triggered	5	 Modulated Tone	25	2	1121953292
1121957635	Triggered	8	 NoSound	50	2	1121957635
1121964921	Triggered	5	 Modulated Tone	25	2	1121964921
1121969067	Triggered	2	 NoSound	50	2	1121969067
1121985910	Triggered	5	 Modulated Tone	25	2	1121985910
1121990124	Triggered	8	 NoSound	50	2	1121990124
1121996472	Triggered	5	 Modulated Tone	25	2	1121996472
1122000219	Triggered	8	 NoSound	50	2	1122000219
1122006436	Triggered	5	 Modulated Tone	25	2	1122006436
1122010174	Triggered	8	 NoSound	50	2	1122010174
1122017393	Triggered	5	 Modulated Tone	25	2	1122017393
1122021802	Triggered	2	 NoSound	50	2	1122021802
1122037514	Triggered	5	 Modulated Tone	25	2	1122037514
1122042257	Triggered	8	 NoSound	50	2	1122042257
1122049275	Triggered	5	 Modulated Tone	25	2	1122049275
1122053555	Triggered	8	 NoSound	50	2	1122053555
1122060238	Triggered	5	 Modulated Tone	25	2	1122060238
1122067457	Triggered	1	 Modulated Tone	25	2	1122067457
1122072202	Triggered	4	 NoSound	50	2	1122072202
1122095598	Triggered	1	 Modulated Tone	25	2	1122095598
1122100742	Triggered	6	 NoSound	50	2	1122100742
1122113646	Triggered	1	 Modulated Tone	25	2	1122113646
1122136639	Triggered	4	 NoSound	50	2	1122136639
1122156292	Triggered	1	 Modulated Tone	25	2	1122156292
1122162904	Triggered	6	 NoSound	50	2	1122162904
1122170725	Triggered	1	 Modulated Tone	25	2	1122170725
1122174936	Triggered	4	 NoSound	50	2	1122174936
1122194588	Triggered	1	 Modulated Tone	25	2	1122194588
1122199868	Triggered	6	 NoSound	50	2	1122199868
1122213103	Triggered	1	 Modulated Tone	25	2	1122213103
1122217313	Triggered	4	 NoSound	50	2	1122217313
1122239108	Triggered	1	 Modulated Tone	25	2	1122239108
1122244251	Triggered	6	 NoSound	50	2	1122244251
1122252210	Triggered	1	 Modulated Tone	25	2	1122252210
1122256682	Triggered	6	 NoSound	50	2	1122256682
1122265911	Triggered	1	 Modulated Tone	25	2	1122265911
1122269984	Triggered	4	 NoSound	50	2	1122269984
1122290710	Triggered	1	 Modulated Tone	25	2	1122290710
1122299194	Triggered	4	 NoSound	50	2	1122299194
1122320514	Triggered	1	 Modulated Tone	25	2	1122320514
1122355210	Triggered	4	 NoSound	50	2	1122355210
1122375463	Triggered	1	 Modulated Tone	25	2	1122375463
1122397784	Triggered	5	 Modulated Tone	25	2	1122397784
1122401527	Triggered	8	 NoSound	50	2	1122401527
1122425923	Triggered	5	 Modulated Tone	25	2	1122425923
1122433945	Triggered	2	 NoSound	50	2	1122433945
