Ver1.3	489488785	StartFile	8/25/2020	11:04:17 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082520A\SoundData.txt	489488785
489613749	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489613749
489613952	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	489613952
489633668	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489633668
489640420	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489640420
489640633	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489640633
489656328	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489656328
489660807	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489660807
489661010	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489661010
489672703	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489672703
489676781	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489676781
489676983	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489676983
489689882	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489689882
489690085	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	489690085
489693960	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489693960
489694162	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489694162
489704254	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489704254
489704458	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	489704458
489707995	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489707995
489708208	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489708208
489718758	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489718758
489718960	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	489718960
489722634	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489722634
489722836	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489722836
489735066	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489735066
489735270	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	489735270
489738675	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489738675
489738887	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489738887
489749845	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489749845
