Ver1.3	71419713	StartFile	8/20/2020	2:56:28 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\082020B\SoundData.txt	71419713
71653016	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	71653016
71653217	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	71653217
71665716	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71665716
71665921	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71665921
71669057	Triggered	4,42,43,44,45,46,	 NoSound	40	2	71669057
71675542	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71675542
71675747	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71675747
71678682	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71678682
71678884	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71678884
71685902	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71685902
71686106	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71686106
71688909	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71688909
71689110	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71689110
71696262	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71696262
71696465	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71696465
71699203	Triggered	4,42,43,44,45,46,	 NoSound	40	2	71699203
71703815	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71703815
71704020	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71704020
71707024	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71707024
71707226	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71707226
71714108	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71714108
71714313	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71714313
71716782	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71716782
71716983	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71716983
71724001	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71724001
71724206	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71724206
71726741	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71726741
71726943	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71726943
71738639	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71738639
71738844	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71738844
71741654	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71741654
71741857	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71741857
71748938	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71748938
71749143	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71749143
71751808	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71751808
71752010	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71752010
71758358	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71758358
71758575	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	71758575
71761433	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71761433
71761634	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71761634
71768984	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71768984
71769200	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	71769200
71771793	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71771793
71771995	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71771995
71778944	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71778944
71779148	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	71779148
71781818	Triggered	4,42,43,44,45,46,	 NoSound	40	2	71781818
71786031	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71786031
71786234	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	71786234
71789171	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71789171
71789371	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71789371
71796924	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71796924
71797138	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	71797138
71799800	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71799800
71800002	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71800002
71806683	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71806683
71806885	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	71806885
71809423	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71809423
71809626	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	71809626
71815506	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	71815506
71815708	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	71815708
71818380	Triggered	6,47,48,49,50,51,	 NoSound	40	2	71818380
