Ver1.3	1192711608	StartFile	6/23/2020	2:35:53 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\062320\SoundData.txt	1192711608
1193125097	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1193125097
1193125298	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1193125298
1193140500	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193140500
1193140703	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	1193140703
1193147058	Triggered	4,	 NoSound	40	2	1193147058
1193167333	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193167333
1193167534	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1193167534
1193172087	Triggered	4,	 NoSound	40	2	1193172087
1193182675	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193182675
1193182878	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1193182878
1193185984	Triggered	4,	 NoSound	40	2	1193185984
1193198800	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193198800
1193199000	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1193199000
1193203011	Triggered	6,	 NoSound	40	2	1193203011
1193212639	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193212639
1193212841	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1193212841
1193216850	Triggered	4,	 NoSound	40	2	1193216850
1193226537	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193226537
1193226737	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1193226737
1193230447	Triggered	4,	 NoSound	40	2	1193230447
1193239051	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193239051
1193239251	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1193239251
1193242602	Triggered	4,	 NoSound	40	2	1193242602
1193251144	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193251144
1193251345	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1193251345
1193263237	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1193263237
1193263441	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1193263441
1193267870	Triggered	8,	 NoSound	40	2	1193267870
1193292960	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1193292960
1193293160	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1193293160
1193296932	Triggered	8,	 NoSound	40	2	1193296932
1193308062	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1193308062
1193308262	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1193308262
1193323705	Triggered	4,	 NoSound	40	2	1193323705
1193332489	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193332489
1193332689	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1193332689
1193335920	Triggered	4,	 NoSound	40	2	1193335920
1193343861	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193343861
1193344061	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1193344061
1193347410	Triggered	4,	 NoSound	40	2	1193347410
1193357398	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193357398
1193357598	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1193357598
1193360826	Triggered	4,	 NoSound	40	2	1193360826
1193368768	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193368768
1193368969	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1193368969
1193372084	Triggered	4,	 NoSound	40	2	1193372084
1193379841	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193379841
1193380041	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1193380041
1193382908	Triggered	4,	 NoSound	40	2	1193382908
1193391270	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1193391270
1193391470	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1193391470
