Ver1.3	55600795	StartFile	6/10/2020	10:44:02 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\061020\SoundData.txt	55600795
55947383	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	55947383
55947584	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	55947584
55966433	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	55966433
55966636	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	55966636
55979266	Triggered	4,	 NoSound	40	2	55979266
56000533	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56000533
56000733	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	56000733
56007072	Triggered	6,	 NoSound	40	2	56007072
56018769	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56018769
56019018	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	56019018
56031669	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56031669
56031872	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	56031872
56036281	Triggered	2,	 NoSound	40	2	56036281
56049715	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56049715
56049915	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	56049915
56053125	Triggered	2,	 NoSound	40	2	56053125
56066294	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56066294
56066494	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	56066494
56070170	Triggered	2,	 NoSound	40	2	56070170
56082602	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56082602
56082802	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	56082802
56086011	Triggered	2,	 NoSound	40	2	56086011
56097641	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56097641
56097841	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	56097841
56100585	Triggered	2,	 NoSound	40	2	56100585
56111211	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56111211
56111411	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	56111411
56114150	Triggered	2,	 NoSound	40	2	56114150
56126250	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56126250
56126450	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	56126450
56129530	Triggered	2,	 NoSound	40	2	56129530
56139750	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56139750
56139951	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	56139951
56154991	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56154991
56155194	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	56155194
56158400	Triggered	6,	 NoSound	40	2	56158400
56164683	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56164683
56164896	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	56164896
56168091	Triggered	4,	 NoSound	40	2	56168091
56176512	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56176512
56176713	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	56176713
56190622	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56190622
56190826	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	56190826
56193557	Triggered	2,	 NoSound	40	2	56193557
56204187	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56204187
56204387	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	56204387
56206792	Triggered	2,	 NoSound	40	2	56206792
56219828	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56219828
56220029	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	56220029
56222634	Triggered	2,	 NoSound	40	2	56222634
56233067	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56233067
56233267	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	56233267
56236469	Triggered	2,	 NoSound	40	2	56236469
56247499	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56247499
56247699	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	56247699
56250373	Triggered	2,	 NoSound	40	2	56250373
56260666	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56260666
56260866	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	56260866
56267751	Triggered	2,	 NoSound	40	2	56267751
56276708	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56276708
56276909	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	56276909
56281589	Triggered	2,	 NoSound	40	2	56281589
56291947	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56291947
56292147	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	56292147
56307790	Triggered	6,	 NoSound	40	2	56307790
56318220	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56318220
56318422	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	56318422
56321691	Triggered	6,	 NoSound	40	2	56321691
56331250	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	56331250
56331451	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	56331451
56359859	Triggered	2,	 NoSound	40	2	56359859
56366609	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	56366609
56366809	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	56366809
56370218	Triggered	2,	 NoSound	40	2	56370218
