Ver1.3	175022591	StartFile	7/24/2020	9:33:24 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072420A\SoundData.txt	175022591
175198912	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175198912
175199114	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	175199114
175218766	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175218766
175227911	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175227911
175228112	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175228112
175240007	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175240007
175240210	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	175240210
175244036	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175244036
175244237	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175244237
175253722	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175253722
175253926	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	175253926
175257755	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175257755
175257956	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175257956
175268583	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175268583
175268787	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	175268787
175272433	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175272433
175272635	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175272635
175283205	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175283205
175283408	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	175283408
175287235	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175287235
175287436	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175287436
175297824	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175297824
175298026	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	175298026
175301675	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175301675
175301877	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175301877
175311903	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175311903
175312105	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	175312105
175315633	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175315633
175315836	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	175315836
175325319	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175325319
175325520	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	175325520
175340902	Triggered	8,52,53,54,55,56,	 NoSound	40	2	175340902
175341109	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	175341109
175354500	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175354500
175354701	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	175354701
175358170	Triggered	8,52,53,54,55,56,	 NoSound	40	2	175358170
175358372	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	175358372
175369963	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175369963
175370164	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	175370164
175381637	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175381637
175384886	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175384886
175385087	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175385087
175397639	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175397639
175397842	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	175397842
175400707	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175400707
175400910	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175400910
175413462	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175413462
175413665	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	175413665
175416531	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175416531
175416747	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175416747
175428324	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175428324
175428528	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	175428528
175431933	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175431933
175432135	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175432135
175442704	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175442704
175442905	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	175442905
175446141	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175446141
175446344	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175446344
175458767	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175458767
175458969	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	175458969
175461956	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175461956
175462158	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175462158
175475192	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175475192
175475395	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	175475395
175478622	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175478622
175478824	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	175478824
175489452	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175489452
175489653	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	175489653
175501004	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175501004
175504433	Triggered	8,52,53,54,55,56,	 NoSound	40	2	175504433
175504635	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	175504635
175513458	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175513458
175513659	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	175513659
175517729	Triggered	2,37,38,39,40,41,	 NoSound	40	2	175517729
175526394	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	175526394
175526595	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	175526595
175541194	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175541194
175551061	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175551061
175551266	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	175551266
175555694	Triggered	6,47,48,49,50,51,	 NoSound	40	2	175555694
175555896	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	175555896
175569051	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175569051
175569255	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	175569255
175573443	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175573443
175578075	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175578075
175578279	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	175578279
175586862	Triggered	6,47,48,49,50,51,	 NoSound	40	2	175586862
175587064	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	175587064
175604549	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175604549
175604751	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	175604751
175608580	Triggered	4,42,43,44,45,46,	 NoSound	40	2	175608580
175612922	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	175612922
175613126	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	175613126
