Ver1.2	1604870562	StartFile	3/4/2020	4:28:43 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\030420\SoundData.txt	1604870562
1605098404	Triggered	8	 NoSound	50	2	1605098404
1605101283	Triggered	7	 NoSound	50	2	1605101283
1605102817	Triggered	6	 NoSound	50	2	1605102817
1605107629	Triggered	5	 Modulated Tone	25	2	1605107629
1605111439	Triggered	8	 NoSound	50	2	1605111439
1605116785	Triggered	5	 Modulated Tone	25	2	1605116785
1605124138	Triggered	1	 Modulated Tone	25	2	1605124138
1605139912	Triggered	8	 NoSound	50	2	1605139912
1605144592	Triggered	5	 Modulated Tone	25	2	1605144592
1605148870	Triggered	2	 NoSound	50	2	1605148870
1605154885	Triggered	8	 NoSound	50	2	1605154885
1605157290	Triggered	7	 NoSound	50	2	1605157290
1605158968	Triggered	6	 NoSound	50	2	1605158968
1605162308	Triggered	5	 Modulated Tone	25	2	1605162308
1605165647	Triggered	2	 NoSound	50	2	1605165647
1605177683	Triggered	5	 Modulated Tone	25	2	1605177683
1605181822	Triggered	8	 NoSound	50	2	1605181822
1605186568	Triggered	5	 Modulated Tone	25	2	1605186568
1605190044	Triggered	2	 NoSound	50	2	1605190044
1605199335	Triggered	5	 Modulated Tone	25	2	1605199335
1605202547	Triggered	2	 NoSound	50	2	1605202547
1605210568	Triggered	5	 Modulated Tone	25	2	1605210568
1605213437	Triggered	2	 NoSound	50	2	1605213437
1605220122	Triggered	5	 Modulated Tone	25	2	1605220122
1605223731	Triggered	2	 NoSound	50	2	1605223731
1605231752	Triggered	5	 Modulated Tone	25	2	1605231752
1605234961	Triggered	8	 NoSound	50	2	1605234961
1605239375	Triggered	5	 Modulated Tone	25	2	1605239375
1605242915	Triggered	2	 NoSound	50	2	1605242915
1605249132	Triggered	5	 Modulated Tone	25	2	1605249132
1605252941	Triggered	2	 NoSound	50	2	1605252941
1605259893	Triggered	5	 Modulated Tone	25	2	1605259893
1605263836	Triggered	1	 Modulated Tone	25	2	1605263836
1605266709	Triggered	6	 NoSound	50	2	1605266709
1605274066	Triggered	1	 Modulated Tone	25	2	1605274066
1605277407	Triggered	6	 NoSound	50	2	1605277407
1605284490	Triggered	1	 Modulated Tone	25	2	1605284490
1605288433	Triggered	6	 NoSound	50	2	1605288433
1605295183	Triggered	1	 Modulated Tone	25	2	1605295183
1605298526	Triggered	4	 NoSound	50	2	1605298526
1605317510	Triggered	1	 Modulated Tone	25	2	1605317510
1605320454	Triggered	4	 NoSound	50	2	1605320454
1605333016	Triggered	1	 Modulated Tone	25	2	1605333016
1605335889	Triggered	4	 NoSound	50	2	1605335889
1605349125	Triggered	1	 Modulated Tone	25	2	1605349125
1605351802	Triggered	4	 NoSound	50	2	1605351802
1605364431	Triggered	1	 Modulated Tone	25	2	1605364431
1605367239	Triggered	4	 NoSound	50	2	1605367239
1605379471	Triggered	1	 Modulated Tone	25	2	1605379471
1605382215	Triggered	4	 NoSound	50	2	1605382215
1605395050	Triggered	1	 Modulated Tone	25	2	1605395050
1605397718	Triggered	4	 NoSound	50	2	1605397718
1605410288	Triggered	1	 Modulated Tone	25	2	1605410288
1605413091	Triggered	4	 NoSound	50	2	1605413091
1605426599	Triggered	1	 Modulated Tone	25	2	1605426599
1605429401	Triggered	4	 NoSound	50	2	1605429401
1605440633	Triggered	1	 Modulated Tone	25	2	1605440633
1605457673	Triggered	5	 Modulated Tone	25	2	1605457673
1605460683	Triggered	8	 NoSound	50	2	1605460683
1605473314	Triggered	5	 Modulated Tone	25	2	1605473314
1605476190	Triggered	8	 NoSound	50	2	1605476190
1605489423	Triggered	5	 Modulated Tone	25	2	1605489423
1605492364	Triggered	8	 NoSound	50	2	1605492364
1605505134	Triggered	5	 Modulated Tone	25	2	1605505134
1605507874	Triggered	8	 NoSound	50	2	1605507874
1605521044	Triggered	5	 Modulated Tone	25	2	1605521044
1605523717	Triggered	8	 NoSound	50	2	1605523717
1605538353	Triggered	5	 Modulated Tone	25	2	1605538353
