Ver1.2	1215716475	StartFile	2/8/2020	1:05:31 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\020820\SoundData.txt	1215716475
1216001322	Triggered	5	 Modulated Tone	25	2	1216001322
1216006561	Triggered	2	 NoSound	50	2	1216006561
1216017387	Triggered	5	 Modulated Tone	25	2	1216017387
1216021418	Triggered	8	 NoSound	50	2	1216021418
1216046808	Triggered	5	 Modulated Tone	25	2	1216046808
1216050478	Triggered	2	 NoSound	50	2	1216050478
1216059623	Triggered	5	 Modulated Tone	25	2	1216059623
1216063415	Triggered	8	 NoSound	50	2	1216063415
1216083871	Triggered	5	 Modulated Tone	25	2	1216083871
1216087604	Triggered	2	 NoSound	50	2	1216087604
1216095663	Triggered	5	 Modulated Tone	25	2	1216095663
1216099152	Triggered	8	 NoSound	50	2	1216099152
1216117263	Triggered	5	 Modulated Tone	25	2	1216117263
1216120631	Triggered	8	 NoSound	50	2	1216120631
1216139469	Triggered	5	 Modulated Tone	25	2	1216139469
1216142833	Triggered	8	 NoSound	50	2	1216142833
1216162687	Triggered	5	 Modulated Tone	25	2	1216162687
1216166358	Triggered	8	 NoSound	50	2	1216166358
1216185429	Triggered	5	 Modulated Tone	25	2	1216185429
1216189160	Triggered	8	 NoSound	50	2	1216189160
1216209201	Triggered	5	 Modulated Tone	25	2	1216209201
1216213166	Triggered	8	 NoSound	50	2	1216213166
1216232781	Triggered	5	 Modulated Tone	25	2	1216232781
1216236093	Triggered	8	 NoSound	50	2	1216236093
1216254199	Triggered	5	 Modulated Tone	25	2	1216254199
1216261359	Triggered	1	 Modulated Tone	25	2	1216261359
1216264489	Triggered	6	 NoSound	50	2	1216264489
1216280431	Triggered	1	 Modulated Tone	25	2	1216280431
1216283920	Triggered	4	 NoSound	50	2	1216283920
1216301428	Triggered	1	 Modulated Tone	25	2	1216301428
1216305221	Triggered	6	 NoSound	50	2	1216305221
1216312560	Triggered	1	 Modulated Tone	25	2	1216312560
1216315628	Triggered	4	 NoSound	50	2	1216315628
1216334401	Triggered	1	 Modulated Tone	25	2	1216334401
1216338912	Triggered	6	 NoSound	50	2	1216338912
1216346314	Triggered	1	 Modulated Tone	25	2	1216346314
1216350224	Triggered	4	 NoSound	50	2	1216350224
1216371221	Triggered	1	 Modulated Tone	25	2	1216371221
1216374951	Triggered	4	 NoSound	50	2	1216374951
1216394867	Triggered	1	 Modulated Tone	25	2	1216394867
1216398479	Triggered	4	 NoSound	50	2	1216398479
1216416767	Triggered	1	 Modulated Tone	25	2	1216416767
1216420859	Triggered	4	 NoSound	50	2	1216420859
1216441194	Triggered	1	 Modulated Tone	25	2	1216441194
1216444563	Triggered	4	 NoSound	50	2	1216444563
1216464598	Triggered	1	 Modulated Tone	25	2	1216464598
1216468149	Triggered	4	 NoSound	50	2	1216468149
1216486260	Triggered	1	 Modulated Tone	25	2	1216486260
1216489691	Triggered	4	 NoSound	50	2	1216489691
