Ver1.3	1247699463	StartFile	7/13/2020	9:54:03 AM	E:\BehavioralExperiments\Gerald\RawData\071320\SoundData.txt	1247699463
1248079500	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1248079500
1248120998	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1248120998
1248581336	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1248581336
1248590355	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1248590355
1249216855	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1249216855
1249225946	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1249225946
1249374674	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1249374674
1249384961	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1249384961
1249409225	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1249409225
1249417581	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1249417581
1249440773	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1249440773
1249919693	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1249919693
1249939952	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1249939952
1250022691	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1250022691
1250067411	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1250067411
1250088596	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1250088596
1250126161	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1250126161
1250134449	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1250134449
1250368058	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1250368058
1250385303	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1250385303
1250395469	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1250395469
1250413912	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1250413912
1250508373	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1250508373
1251254437	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1251254437
1251385110	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1251385110
1251400016	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1251400016
1251418932	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1251418932
1251449148	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1251449148
1251461114	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1251461114
1251473742	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1251473742
1251504955	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1251504955
1251513044	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1251513044
