Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
157746126	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157746126
157746328	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157746328
157758520	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157758520
157758724	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157758724
157761649	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157761649
157761851	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157761851
157772358	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157772358
157772562	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157772562
157775126	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157775126
157775328	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157775328
157786136	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157786136
157786339	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157786339
157788724	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157788724
157788926	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157788926
157796967	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157796967
157797172	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157797172
157799614	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157799614
157799817	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157799817
157807735	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157807735
157807938	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157807938
157810624	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157810624
157810827	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157810827
157818814	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157818814
157819018	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157819018
157821454	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157821454
157821670	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157821670
157831320	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157831320
157831524	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157831524
157834088	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157834088
157834291	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157834291
