Ver1.2	2221899364	StartFile	4/8/2020	11:45:55 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\040820\SoundData.txt	2221899364
2221927739	Triggered	5	 PureTone-5kHz	50	2	2221927739
2221933625	Triggered	8	 NoSound	50	2	2221933625
2221943650	Triggered	6	 NoSound	50	2	2221943650
2221949396	Triggered	5	 PureTone-5kHz	50	2	2221949396
2221954275	Triggered	8	 NoSound	50	2	2221954275
2221961964	Triggered	5	 PureTone-5kHz	50	2	2221961964
2221967976	Triggered	8	 NoSound	50	2	2221967976
2221984421	Triggered	5	 PureTone-5kHz	50	2	2221984421
2221988363	Triggered	2	 NoSound	50	2	2221988363
2221999057	Triggered	4	 NoSound	50	2	2221999057
2222004616	Triggered	5	 PureTone-5kHz	50	2	2222004616
2222008890	Triggered	1	 PureTone-5kHz	50	2	2222008890
2222012427	Triggered	6	 NoSound	50	2	2222012427
2222024593	Triggered	1	 PureTone-5kHz	50	2	2222024593
2222027866	Triggered	6	 NoSound	50	2	2222027866
2222041508	Triggered	1	 PureTone-5kHz	50	2	2222041508
2222044509	Triggered	6	 NoSound	50	2	2222044509
2222059413	Triggered	1	 PureTone-5kHz	50	2	2222059413
2222062556	Triggered	6	 NoSound	50	2	2222062556
2222074120	Triggered	1	 PureTone-5kHz	50	2	2222074120
2222077929	Triggered	5	 PureTone-5kHz	50	2	2222077929
2222080804	Triggered	8	 NoSound	50	2	2222080804
2222088628	Triggered	5	 PureTone-5kHz	50	2	2222088628
2222093977	Triggered	8	 NoSound	50	2	2222093977
2222101259	Triggered	5	 PureTone-5kHz	50	2	2222101259
2222104465	Triggered	8	 NoSound	50	2	2222104465
2222112958	Triggered	5	 PureTone-5kHz	50	2	2222112958
2222115894	Triggered	2	 NoSound	50	2	2222115894
2222121647	Triggered	5	 PureTone-5kHz	50	2	2222121647
2222125588	Triggered	1	 PureTone-5kHz	50	2	2222125588
2222131001	Triggered	4	 NoSound	50	2	2222131001
2222144637	Triggered	1	 PureTone-5kHz	50	2	2222144637
2222147844	Triggered	4	 NoSound	50	2	2222147844
2222158740	Triggered	1	 PureTone-5kHz	50	2	2222158740
2222161882	Triggered	4	 NoSound	50	2	2222161882
2222173913	Triggered	1	 PureTone-5kHz	50	2	2222173913
2222176989	Triggered	4	 NoSound	50	2	2222176989
2222188490	Triggered	1	 PureTone-5kHz	50	2	2222188490
2222192297	Triggered	5	 PureTone-5kHz	50	2	2222192297
2222195101	Triggered	2	 NoSound	50	2	2222195101
2222205530	Triggered	5	 PureTone-5kHz	50	2	2222205530
2222208803	Triggered	2	 NoSound	50	2	2222208803
2222224112	Triggered	5	 PureTone-5kHz	50	2	2222224112
2222226852	Triggered	2	 NoSound	50	2	2222226852
2222243298	Triggered	5	 PureTone-5kHz	50	2	2222243298
2222246168	Triggered	2	 NoSound	50	2	2222246168
2222259537	Triggered	5	 PureTone-5kHz	50	2	2222259537
2222263550	Triggered	1	 PureTone-5kHz	50	2	2222263550
2222266624	Triggered	4	 NoSound	50	2	2222266624
2222274307	Triggered	1	 PureTone-5kHz	50	2	2222274307
2222280124	Triggered	4	 NoSound	50	2	2222280124
2222287008	Triggered	1	 PureTone-5kHz	50	2	2222287008
2222292087	Triggered	4	 NoSound	50	2	2222292087
2222298639	Triggered	1	 PureTone-5kHz	50	2	2222298639
2222301646	Triggered	6	 NoSound	50	2	2222301646
2222307402	Triggered	1	 PureTone-5kHz	50	2	2222307402
2222311005	Triggered	5	 PureTone-5kHz	50	2	2222311005
2222313676	Triggered	2	 NoSound	50	2	2222313676
2222321364	Triggered	5	 PureTone-5kHz	50	2	2222321364
2222324640	Triggered	2	 NoSound	50	2	2222324640
2222332660	Triggered	5	 PureTone-5kHz	50	2	2222332660
2222335470	Triggered	2	 NoSound	50	2	2222335470
2222342626	Triggered	5	 PureTone-5kHz	50	2	2222342626
2222345632	Triggered	8	 NoSound	50	2	2222345632
2222358861	Triggered	5	 PureTone-5kHz	50	2	2222358861
2222362471	Triggered	1	 PureTone-5kHz	50	2	2222362471
2222365078	Triggered	6	 NoSound	50	2	2222365078
2222373968	Triggered	1	 PureTone-5kHz	50	2	2222373968
2222376781	Triggered	6	 NoSound	50	2	2222376781
2222386267	Triggered	1	 PureTone-5kHz	50	2	2222386267
2222389080	Triggered	6	 NoSound	50	2	2222389080
2222401577	Triggered	1	 PureTone-5kHz	50	2	2222401577
2222405519	Triggered	6	 NoSound	50	2	2222405519
2222416748	Triggered	1	 PureTone-5kHz	50	2	2222416748
2222420228	Triggered	5	 PureTone-5kHz	50	2	2222420228
2222423030	Triggered	8	 NoSound	50	2	2222423030
2222433059	Triggered	5	 PureTone-5kHz	50	2	2222433059
2222435936	Triggered	8	 NoSound	50	2	2222435936
2222451705	Triggered	5	 PureTone-5kHz	50	2	2222451705
2222454580	Triggered	8	 NoSound	50	2	2222454580
2222466142	Triggered	5	 PureTone-5kHz	50	2	2222466142
2222469283	Triggered	2	 NoSound	50	2	2222469283
2222476235	Triggered	5	 PureTone-5kHz	50	2	2222476235
2222479978	Triggered	1	 PureTone-5kHz	50	2	2222479978
2222482785	Triggered	6	 NoSound	50	2	2222482785
2222494282	Triggered	1	 PureTone-5kHz	50	2	2222494282
2222497357	Triggered	6	 NoSound	50	2	2222497357
2222508518	Triggered	1	 PureTone-5kHz	50	2	2222508518
2222511392	Triggered	6	 NoSound	50	2	2222511392
2222522555	Triggered	1	 PureTone-5kHz	50	2	2222522555
2222525363	Triggered	6	 NoSound	50	2	2222525363
2222535922	Triggered	1	 PureTone-5kHz	50	2	2222535922
2222539600	Triggered	5	 PureTone-5kHz	50	2	2222539600
2222542607	Triggered	2	 NoSound	50	2	2222542607
2222551830	Triggered	5	 PureTone-5kHz	50	2	2222551830
2222555039	Triggered	2	 NoSound	50	2	2222555039
2222563730	Triggered	5	 PureTone-5kHz	50	2	2222563730
2222566870	Triggered	2	 NoSound	50	2	2222566870
2222578033	Triggered	5	 PureTone-5kHz	50	2	2222578033
2222581111	Triggered	8	 NoSound	50	2	2222581111
2222587992	Triggered	5	 PureTone-5kHz	50	2	2222587992
2222591937	Triggered	1	 PureTone-5kHz	50	2	2222591937
2222595145	Triggered	4	 NoSound	50	2	2222595145
2222602165	Triggered	1	 PureTone-5kHz	50	2	2222602165
2222606776	Triggered	4	 NoSound	50	2	2222606776
2222612929	Triggered	1	 PureTone-5kHz	50	2	2222612929
2222617535	Triggered	4	 NoSound	50	2	2222617535
2222623553	Triggered	1	 PureTone-5kHz	50	2	2222623553
2222626626	Triggered	6	 NoSound	50	2	2222626626
2222635519	Triggered	1	 PureTone-5kHz	50	2	2222635519
2222640262	Triggered	5	 PureTone-5kHz	50	2	2222640262
2222643137	Triggered	2	 NoSound	50	2	2222643137
2222655103	Triggered	5	 PureTone-5kHz	50	2	2222655103
2222658243	Triggered	2	 NoSound	50	2	2222658243
2222671749	Triggered	5	 PureTone-5kHz	50	2	2222671749
2222675222	Triggered	2	 NoSound	50	2	2222675222
2222687585	Triggered	5	 PureTone-5kHz	50	2	2222687585
2222690526	Triggered	8	 NoSound	50	2	2222690526
2222698146	Triggered	5	 PureTone-5kHz	50	2	2222698146
2222702891	Triggered	1	 PureTone-5kHz	50	2	2222702891
2222706033	Triggered	4	 NoSound	50	2	2222706033
2222713787	Triggered	1	 PureTone-5kHz	50	2	2222713787
2222719273	Triggered	4	 NoSound	50	2	2222719273
2222725951	Triggered	1	 PureTone-5kHz	50	2	2222725951
2222732902	Triggered	5	 PureTone-5kHz	50	2	2222732902
2222737849	Triggered	4	 NoSound	50	2	2222737849
2222743733	Triggered	1	 PureTone-5kHz	50	2	2222743733
2222746672	Triggered	6	 NoSound	50	2	2222746672
2222760446	Triggered	1	 PureTone-5kHz	50	2	2222760446
2222764451	Triggered	6	 NoSound	50	2	2222764451
2222770467	Triggered	1	 PureTone-5kHz	50	2	2222770467
2222774285	Triggered	5	 PureTone-5kHz	50	2	2222774285
2222777219	Triggered	8	 NoSound	50	2	2222777219
2222787378	Triggered	5	 PureTone-5kHz	50	2	2222787378
2222790854	Triggered	8	 NoSound	50	2	2222790854
2222803554	Triggered	5	 PureTone-5kHz	50	2	2222803554
2222806766	Triggered	8	 NoSound	50	2	2222806766
2222818392	Triggered	5	 PureTone-5kHz	50	2	2222818392
2222821935	Triggered	2	 NoSound	50	2	2222821935
2222834242	Triggered	5	 PureTone-5kHz	50	2	2222834242
2222838578	Triggered	1	 PureTone-5kHz	50	2	2222838578
2222842321	Triggered	4	 NoSound	50	2	2222842321
2222855490	Triggered	1	 PureTone-5kHz	50	2	2222855490
2222860636	Triggered	4	 NoSound	50	2	2222860636
2222873468	Triggered	1	 PureTone-5kHz	50	2	2222873468
2222877212	Triggered	4	 NoSound	50	2	2222877212
2222890316	Triggered	1	 PureTone-5kHz	50	2	2222890316
2222893989	Triggered	6	 NoSound	50	2	2222893989
2222907826	Triggered	1	 PureTone-5kHz	50	2	2222907826
2222912707	Triggered	5	 PureTone-5kHz	50	2	2222912707
2222915913	Triggered	8	 NoSound	50	2	2222915913
2222923867	Triggered	5	 PureTone-5kHz	50	2	2222923867
2222929084	Triggered	8	 NoSound	50	2	2222929084
2222945866	Triggered	5	 PureTone-5kHz	50	2	2222945866
2222951404	Triggered	8	 NoSound	50	2	2222951404
2222964907	Triggered	5	 PureTone-5kHz	50	2	2222964907
2222968189	Triggered	2	 NoSound	50	2	2222968189
2222983097	Triggered	5	 PureTone-5kHz	50	2	2222983097
2222987506	Triggered	1	 PureTone-5kHz	50	2	2222987506
2222990776	Triggered	6	 NoSound	50	2	2222990776
2223004818	Triggered	1	 PureTone-5kHz	50	2	2223004818
2223008488	Triggered	6	 NoSound	50	2	2223008488
2223021659	Triggered	1	 PureTone-5kHz	50	2	2223021659
2223025197	Triggered	6	 NoSound	50	2	2223025197
2223038366	Triggered	1	 PureTone-5kHz	50	2	2223038366
2223041976	Triggered	6	 NoSound	50	2	2223041976
2223055146	Triggered	1	 PureTone-5kHz	50	2	2223055146
2223060356	Triggered	5	 PureTone-5kHz	50	2	2223060356
2223063632	Triggered	2	 NoSound	50	2	2223063632
2223075529	Triggered	5	 PureTone-5kHz	50	2	2223075529
2223079138	Triggered	2	 NoSound	50	2	2223079138
2223092106	Triggered	5	 PureTone-5kHz	50	2	2223092106
2223095719	Triggered	2	 NoSound	50	2	2223095719
2223106142	Triggered	5	 PureTone-5kHz	50	2	2223106142
2223109632	Triggered	8	 NoSound	50	2	2223109632
2223121514	Triggered	5	 PureTone-5kHz	50	2	2223121514
2223127401	Triggered	1	 PureTone-5kHz	50	2	2223127401
2223130740	Triggered	4	 NoSound	50	2	2223130740
2223143574	Triggered	1	 PureTone-5kHz	50	2	2223143574
2223149596	Triggered	4	 NoSound	50	2	2223149596
2223158478	Triggered	1	 PureTone-5kHz	50	2	2223158478
2223163022	Triggered	4	 NoSound	50	2	2223163022
2223171113	Triggered	1	 PureTone-5kHz	50	2	2223171113
2223174862	Triggered	6	 NoSound	50	2	2223174862
2223190632	Triggered	1	 PureTone-5kHz	50	2	2223190632
2223195308	Triggered	5	 PureTone-5kHz	50	2	2223195308
2223199185	Triggered	2	 NoSound	50	2	2223199185
2223213489	Triggered	5	 PureTone-5kHz	50	2	2223213489
2223217304	Triggered	2	 NoSound	50	2	2223217304
2223232337	Triggered	5	 PureTone-5kHz	50	2	2223232337
2223235949	Triggered	2	 NoSound	50	2	2223235949
2223252925	Triggered	5	 PureTone-5kHz	50	2	2223252925
2223256870	Triggered	2	 NoSound	50	2	2223256870
2223274917	Triggered	5	 PureTone-5kHz	50	2	2223274917
2223280930	Triggered	1	 PureTone-5kHz	50	2	2223280930
2223284341	Triggered	4	 NoSound	50	2	2223284341
2223297307	Triggered	1	 PureTone-5kHz	50	2	2223297307
2223303460	Triggered	4	 NoSound	50	2	2223303460
2223312350	Triggered	1	 PureTone-5kHz	50	2	2223312350
2223317897	Triggered	4	 NoSound	50	2	2223317897
2223326919	Triggered	1	 PureTone-5kHz	50	2	2223326919
2223331263	Triggered	6	 NoSound	50	2	2223331263
2223343027	Triggered	1	 PureTone-5kHz	50	2	2223343027
2223348440	Triggered	5	 PureTone-5kHz	50	2	2223348440
2223352256	Triggered	2	 NoSound	50	2	2223352256
2223361542	Triggered	5	 PureTone-5kHz	50	2	2223361542
2223366090	Triggered	2	 NoSound	50	2	2223366090
2223375180	Triggered	5	 PureTone-5kHz	50	2	2223375180
2223379655	Triggered	2	 NoSound	50	2	2223379655
2223388411	Triggered	5	 PureTone-5kHz	50	2	2223388411
2223392626	Triggered	8	 NoSound	50	2	2223392626
2223519092	Triggered	5	 PureTone-5kHz	50	2	2223519092
2223525368	Triggered	1	 PureTone-5kHz	50	2	2223525368
2223529046	Triggered	4	 NoSound	50	2	2223529046
2223545219	Triggered	1	 PureTone-5kHz	50	2	2223545219
2223549162	Triggered	4	 NoSound	50	2	2223549162
2223564537	Triggered	1	 PureTone-5kHz	50	2	2223564537
2223569353	Triggered	4	 NoSound	50	2	2223569353
2223590070	Triggered	1	 PureTone-5kHz	50	2	2223590070
2223594346	Triggered	6	 NoSound	50	2	2223594346
2223606456	Triggered	1	 PureTone-5kHz	50	2	2223606456
2223611597	Triggered	5	 PureTone-5kHz	50	2	2223611597
2223615269	Triggered	8	 NoSound	50	2	2223615269
2223625829	Triggered	5	 PureTone-5kHz	50	2	2223625829
2223631912	Triggered	8	 NoSound	50	2	2223631912
2223642740	Triggered	5	 PureTone-5kHz	50	2	2223642740
2223649293	Triggered	8	 NoSound	50	2	2223649293
2223658249	Triggered	5	 PureTone-5kHz	50	2	2223658249
2223662191	Triggered	2	 NoSound	50	2	2223662191
2223675629	Triggered	5	 PureTone-5kHz	50	2	2223675629
2223681309	Triggered	1	 PureTone-5kHz	50	2	2223681309
2223685056	Triggered	6	 NoSound	50	2	2223685056
2223700025	Triggered	1	 PureTone-5kHz	50	2	2223700025
2223705571	Triggered	6	 NoSound	50	2	2223705571
2223716733	Triggered	1	 PureTone-5kHz	50	2	2223716733
2223720811	Triggered	6	 NoSound	50	2	2223720811
2223732107	Triggered	1	 PureTone-5kHz	50	2	2223732107
2223737058	Triggered	6	 NoSound	50	2	2223737058
2223747684	Triggered	1	 PureTone-5kHz	50	2	2223747684
2223753162	Triggered	5	 PureTone-5kHz	50	2	2223753162
2223757038	Triggered	2	 NoSound	50	2	2223757038
2223774288	Triggered	5	 PureTone-5kHz	50	2	2223774288
2223778098	Triggered	2	 NoSound	50	2	2223778098
2223796007	Triggered	5	 PureTone-5kHz	50	2	2223796007
2223800083	Triggered	2	 NoSound	50	2	2223800083
2223817529	Triggered	5	 PureTone-5kHz	50	2	2223817529
2223822341	Triggered	2	 NoSound	50	2	2223822341
2223841925	Triggered	5	 PureTone-5kHz	50	2	2223841925
2223847815	Triggered	1	 PureTone-5kHz	50	2	2223847815
2223851684	Triggered	4	 NoSound	50	2	2223851684
2223883769	Triggered	1	 PureTone-5kHz	50	2	2223883769
2223889122	Triggered	4	 NoSound	50	2	2223889122
2223900678	Triggered	3	 NoSound	50	2	2223900678
2223922939	Triggered	4	 NoSound	50	2	2223922939
2223931700	Triggered	1	 PureTone-5kHz	50	2	2223931700
2223936772	Triggered	4	 NoSound	50	2	2223936772
2223954353	Triggered	1	 PureTone-5kHz	50	2	2223954353
2223958829	Triggered	6	 NoSound	50	2	2223958829
2223972940	Triggered	1	 PureTone-5kHz	50	2	2223972940
2223977946	Triggered	6	 NoSound	50	2	2223977946
2223984033	Triggered	5	 PureTone-5kHz	50	2	2223984033
2223987906	Triggered	8	 NoSound	50	2	2223987906
2224002956	Triggered	5	 PureTone-5kHz	50	2	2224002956
2224008359	Triggered	8	 NoSound	50	2	2224008359
2224016715	Triggered	5	 PureTone-5kHz	50	2	2224016715
2224022802	Triggered	8	 NoSound	50	2	2224022802
2224030422	Triggered	5	 PureTone-5kHz	50	2	2224030422
2224034429	Triggered	2	 NoSound	50	2	2224034429
2224043653	Triggered	5	 PureTone-5kHz	50	2	2224043653
2224049267	Triggered	1	 PureTone-5kHz	50	2	2224049267
2224053543	Triggered	4	 NoSound	50	2	2224053543
2224066250	Triggered	1	 PureTone-5kHz	50	2	2224066250
2224072664	Triggered	4	 NoSound	50	2	2224072664
2224084357	Triggered	1	 PureTone-5kHz	50	2	2224084357
2224094383	Triggered	4	 NoSound	50	2	2224094383
2224104613	Triggered	1	 PureTone-5kHz	50	2	2224104613
2224108285	Triggered	6	 NoSound	50	2	2224108285
2224121387	Triggered	1	 PureTone-5kHz	50	2	2224121387
2224126734	Triggered	5	 PureTone-5kHz	50	2	2224126734
2224130410	Triggered	2	 NoSound	50	2	2224130410
2224145855	Triggered	5	 PureTone-5kHz	50	2	2224145855
2224149539	Triggered	2	 NoSound	50	2	2224149539
2224164700	Triggered	5	 PureTone-5kHz	50	2	2224164700
2224168377	Triggered	2	 NoSound	50	2	2224168377
2224184432	Triggered	5	 PureTone-5kHz	50	2	2224184432
2224188433	Triggered	2	 NoSound	50	2	2224188433
2224206943	Triggered	5	 PureTone-5kHz	50	2	2224206943
2224213294	Triggered	1	 PureTone-5kHz	50	2	2224213294
2224217305	Triggered	6	 NoSound	50	2	2224217305
2224232074	Triggered	1	 PureTone-5kHz	50	2	2224232074
2224235691	Triggered	6	 NoSound	50	2	2224235691
2224251727	Triggered	1	 PureTone-5kHz	50	2	2224251727
2224255603	Triggered	6	 NoSound	50	2	2224255603
2224278472	Triggered	1	 PureTone-5kHz	50	2	2224278472
2224282811	Triggered	6	 NoSound	50	2	2224282811
2224297646	Triggered	1	 PureTone-5kHz	50	2	2224297646
2224303199	Triggered	5	 PureTone-5kHz	50	2	2224303199
2224306871	Triggered	2	 NoSound	50	2	2224306871
2224316965	Triggered	5	 PureTone-5kHz	50	2	2224316965
2224321375	Triggered	2	 NoSound	50	2	2224321375
2224332144	Triggered	5	 PureTone-5kHz	50	2	2224332144
2224336481	Triggered	2	 NoSound	50	2	2224336481
2224345171	Triggered	5	 PureTone-5kHz	50	2	2224345171
2224349649	Triggered	8	 NoSound	50	2	2224349649
2224370035	Triggered	5	 PureTone-5kHz	50	2	2224370035
2224377057	Triggered	1	 PureTone-5kHz	50	2	2224377057
2224381532	Triggered	4	 NoSound	50	2	2224381532
2224398446	Triggered	1	 PureTone-5kHz	50	2	2224398446
2224405198	Triggered	4	 NoSound	50	2	2224405198
2224420969	Triggered	1	 PureTone-5kHz	50	2	2224420969
2224425313	Triggered	4	 NoSound	50	2	2224425313
2224444168	Triggered	1	 PureTone-5kHz	50	2	2224444168
2224448775	Triggered	6	 NoSound	50	2	2224448775
2224460478	Triggered	8	 NoSound	50	2	2224460478
