Ver1.3	1381306315	StartFile	8/10/2020	11:46:05 AM	E:\BehavioralExperiments\Gerald\RawData\081020\SoundData.txt	1381306315
1381582418	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1381582418
1381582620	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1381582620
1381631209	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381631209
1381639336	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1381639336
1381639538	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1381639538
1381700525	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381700525
1381707920	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1381707920
1381708122	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1381708122
1381739448	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381739448
1381761830	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381761830
1381762032	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381762032
1381791865	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381791865
1381795161	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381795161
1381795362	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381795362
1381823921	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381823921
1381824125	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1381824125
1381827724	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381827724
1381827925	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381827925
1381877347	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381877347
1381877550	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1381877550
1381881559	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381881559
1381881760	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381881760
1381898587	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381898587
1381898789	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1381898789
1381903640	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381903640
1381903854	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381903854
1381917057	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381917057
1381917259	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1381917259
1381923144	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381923144
1381923345	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381923345
1381938416	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381938416
1381938617	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1381938617
1381942392	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381942392
1381942593	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381942593
1381955264	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381955264
1381955466	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1381955466
1381959295	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1381959295
1381959508	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1381959508
1381977765	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1381977765
1381977965	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1381977965
1382053753	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1382053753
1382059348	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1382059348
1382059548	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1382059548
1382116927	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1382116927
1382154592	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1382154592
1382154793	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1382154793
1382201159	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1382201159
1382453735	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1382453735
1382453937	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1382453937
1382475996	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1382475996
1382483036	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1382483036
1382483238	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1382483238
1382509809	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1382509809
1382510011	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1382510011
1382515707	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1382515707
1382515922	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1382515922
1382534846	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1382534846
1382535046	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundLong	40	2	1382535046
1382549460	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382549460
1382572630	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1382572630
1382572830	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1382572830
1382588147	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382588147
1382591033	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382591033
1382591235	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382591235
1382632139	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382632139
1382659141	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1382659141
1382659342	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1382659342
1382673521	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382673521
1382681943	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1382681943
1382682145	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1382682145
1382699333	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382699333
1382699535	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1382699535
1382704867	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382704867
1382705069	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382705069
1382737958	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382737958
1382738161	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1382738161
1382744096	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382744096
1382744299	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382744299
1382767138	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382767138
1382767340	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1382767340
1382771773	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382771773
1382771974	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382771974
1382800952	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382800952
1382801156	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1382801156
1382805301	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382805301
1382805504	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382805504
1382832960	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382832960
1382833163	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1382833163
1382837353	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382837353
1382837555	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382837555
1382860095	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1382860095
1382860296	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1382860296
1382863826	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1382863826
1382864028	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1382864028
