Ver1.3	363148631	StartFile	7/29/2020	4:56:47 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072920B\SoundData.txt	363148631
363696085	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	363696085
363696287	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	363696287
363706984	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363706984
363711059	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363711059
363711261	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	363711261
363722824	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363722824
363723026	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363723026
363726967	Triggered	6,47,48,49,50,51,	 NoSound	40	2	363726967
363731923	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363731923
363732127	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363732127
363736726	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363736726
363736927	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	363736927
363749024	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363749024
363749226	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363749226
363752166	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363752166
363752368	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	363752368
363762727	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363762727
363762930	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363762930
363765608	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363765608
363765811	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	363765811
363775292	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363775292
363775495	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363775495
363778033	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363778033
363778235	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	363778235
363786990	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363786990
363787193	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363787193
363789797	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363789797
363789998	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	363789998
363799289	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	363799289
363799491	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	363799491
363802029	Triggered	4,42,43,44,45,46,	 NoSound	40	2	363802029
