Ver1.3	341099863	StartFile	7/29/2020	10:49:18 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072920A\SoundData.txt	341099863
341389567	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	341389567
341389768	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	341389768
341403164	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341403164
341410032	Triggered	6,47,48,49,50,51,	 NoSound	40	2	341410032
341410232	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	341410232
341419950	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341419950
341420153	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341420153
341424041	Triggered	6,47,48,49,50,51,	 NoSound	40	2	341424041
341424242	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	341424242
341432104	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341432104
341432307	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341432307
341436075	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341436075
341436275	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341436275
341447687	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341447687
341447890	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341447890
341451177	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341451177
341451377	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341451377
341462728	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341462728
341462930	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341462930
341466278	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341466278
341466479	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341466479
341474648	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341474648
341474852	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341474852
341478733	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341478733
341478934	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341478934
341486855	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341486855
341487059	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341487059
341491127	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341491127
341491328	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341491328
341498474	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341498474
341498678	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341498678
341501896	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341501896
341502097	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341502097
341509899	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341509899
341510102	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341510102
341513227	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341513227
341513428	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341513428
341521511	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341521511
341521713	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341521713
341524578	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341524578
341524779	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341524779
341532159	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341532160
341532362	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341532362
341536070	Triggered	6,47,48,49,50,51,	 NoSound	40	2	341536070
341536271	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	341536271
341542388	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341542389
341542591	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341542591
341545515	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341545515
341545729	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341545729
341553639	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341553639
341553842	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341553842
341557429	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341557429
341557630	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341557630
341566634	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341566634
341566837	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341566837
341569644	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341569644
341569845	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341569845
341576803	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341576803
341577005	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	341577005
341579761	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341579761
341579963	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341579963
341587579	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341587579
341587782	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	341587782
341590581	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341590581
341590782	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341590782
341598522	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341598522
341598724	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	341598724
341601289	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341601289
341601490	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341601490
341608991	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341608991
341609206	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	341609206
341611939	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341611939
341612141	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341612141
341620061	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341620061
341620263	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	341620263
341622769	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341622769
341622970	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341622970
341632035	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	341632035
341632251	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	341632251
341634622	Triggered	4,42,43,44,45,46,	 NoSound	40	2	341634622
341634822	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	341634822
