Ver1.3	1261543024	StartFile	7/13/2020	1:44:46 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\071320\SoundData.txt	1261543024
1262093009	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1262093009
1262093211	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1262093211
1262130107	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1262130107
1262142478	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1262142478
1262142679	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1262142679
1262154237	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1262154237
1262158781	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1262158781
1262158982	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1262158982
1262168944	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1262168944
1262184247	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1262184247
1262184448	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1262184448
1262196280	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1262196280
1262196483	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1262196483
1262200638	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1262200638
1262200838	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1262200838
1262213124	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1262213124
1262213325	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1262213325
1262234913	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1262234913
1262239258	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1262239258
1262239461	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1262239461
1262250821	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1262250821
1262255501	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1262255501
1262255703	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1262255703
1262266062	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1262266062
1262270085	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1262270085
1262270286	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1262270286
1262282507	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1262282507
1262282713	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1262282713
