Ver1.2	943799022	StartFile	3/24/2020	4:44:14 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\032420\SoundData.txt	943799022
944411999	Triggered	6	 NoSound	50	2	944411999
944417244	Triggered	1	 Modulated Tone	25	2	944417244
944428474	Triggered	4	 NoSound	50	2	944428474
944441443	Triggered	2	 NoSound	50	2	944441443
944447326	Triggered	6	 NoSound	50	2	944447326
944455478	Triggered	1	 Modulated Tone	25	2	944455478
944459692	Triggered	6	 NoSound	50	2	944459692
944471722	Triggered	1	 Modulated Tone	25	2	944471722
944475664	Triggered	6	 NoSound	50	2	944475664
944486095	Triggered	1	 Modulated Tone	25	2	944486095
944490836	Triggered	4	 NoSound	50	2	944490837
944502740	Triggered	1	 Modulated Tone	25	2	944502740
944506479	Triggered	4	 NoSound	50	2	944506479
944517978	Triggered	1	 Modulated Tone	25	2	944517978
944521254	Triggered	4	 NoSound	50	2	944521254
944533151	Triggered	1	 Modulated Tone	25	2	944533151
944536623	Triggered	4	 NoSound	50	2	944536623
944548252	Triggered	1	 Modulated Tone	25	2	944548252
944551596	Triggered	4	 NoSound	50	2	944551596
944564572	Triggered	1	 Modulated Tone	25	2	944564572
944568243	Triggered	4	 NoSound	50	2	944568243
944578133	Triggered	1	 Modulated Tone	25	2	944578133
944582275	Triggered	5	 Modulated Tone	25	2	944582275
944587020	Triggered	8	 NoSound	50	2	944587020
944599188	Triggered	5	 Modulated Tone	25	2	944599188
944602796	Triggered	8	 NoSound	50	2	944602796
944607675	Triggered	5	 Modulated Tone	25	2	944607675
944612692	Triggered	4	 NoSound	50	2	944612692
944620040	Triggered	1	 Modulated Tone	25	2	944620040
944626992	Triggered	8	 NoSound	50	2	944626992
944631472	Triggered	7	 NoSound	50	2	944631472
944632674	Triggered	6	 NoSound	50	2	944632674
944641096	Triggered	5	 Modulated Tone	25	2	944641096
944644706	Triggered	2	 NoSound	50	2	944644706
944653127	Triggered	5	 Modulated Tone	25	2	944653127
944656809	Triggered	2	 NoSound	50	2	944656809
944665163	Triggered	5	 Modulated Tone	25	2	944665163
944669102	Triggered	2	 NoSound	50	2	944669102
944676265	Triggered	5	 Modulated Tone	25	2	944676265
944680065	Triggered	2	 NoSound	50	2	944680065
944688364	Triggered	5	 Modulated Tone	25	2	944688364
944692562	Triggered	2	 NoSound	50	2	944692562
944699784	Triggered	5	 Modulated Tone	25	2	944699784
944703125	Triggered	8	 NoSound	50	2	944703125
944708939	Triggered	5	 Modulated Tone	25	2	944708939
944713155	Triggered	1	 Modulated Tone	25	2	944713155
944716559	Triggered	4	 NoSound	50	2	944716559
944724652	Triggered	1	 Modulated Tone	25	2	944724652
944729464	Triggered	4	 NoSound	50	2	944729464
944737614	Triggered	1	 Modulated Tone	25	2	944737614
944742157	Triggered	4	 NoSound	50	2	944742157
944749848	Triggered	1	 Modulated Tone	25	2	944749848
944753522	Triggered	6	 NoSound	50	2	944753522
944763882	Triggered	1	 Modulated Tone	25	2	944763882
944768025	Triggered	6	 NoSound	50	2	944768025
944777859	Triggered	1	 Modulated Tone	25	2	944777859
944781795	Triggered	6	 NoSound	50	2	944781795
944792227	Triggered	1	 Modulated Tone	25	2	944792227
944795765	Triggered	4	 NoSound	50	2	944795765
944801919	Triggered	1	 Modulated Tone	25	2	944801919
944806132	Triggered	6	 NoSound	50	2	944806132
944816418	Triggered	1	 Modulated Tone	25	2	944816418
944820496	Triggered	6	 NoSound	50	2	944820496
944829989	Triggered	1	 Modulated Tone	25	2	944829989
944834131	Triggered	5	 Modulated Tone	25	2	944834131
944837273	Triggered	2	 NoSound	50	2	944837273
944848641	Triggered	5	 Modulated Tone	25	2	944848641
944852714	Triggered	2	 NoSound	50	2	944852714
