Ver1.3	791885287	StartFile	8/3/2020	4:02:23 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\080320B\SoundData.txt	791885287
792179322	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	792179322
792179524	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	792179524
792194845	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792194845
792198335	Triggered	4,42,43,44,45,46,	 NoSound	40	2	792198335
792198537	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	792198537
792214279	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792214279
792217228	Triggered	4,42,43,44,45,46,	 NoSound	40	2	792217228
792217429	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	792217429
792232330	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792232330
792235223	Triggered	4,42,43,44,45,46,	 NoSound	40	2	792235223
792235425	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	792235425
792252906	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792252906
792253108	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	792253108
792255735	Triggered	4,42,43,44,45,46,	 NoSound	40	2	792255735
792255936	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	792255936
792268608	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792268608
792268811	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	792268811
792271075	Triggered	4,42,43,44,45,46,	 NoSound	40	2	792271075
792271277	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	792271277
792282332	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792282332
792282534	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	792282534
792285275	Triggered	4,42,43,44,45,46,	 NoSound	40	2	792285275
792285476	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	792285476
792296586	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	792296586
792296789	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	792296789
