Ver1.3	1003887668	StartFile	8/31/2020	9:57:36 AM	E:\BehavioralExperiments\Twenty\Horizon\RawData\083120\SoundData.txt	1003887668
1004760138	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1004760138
1004767344	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1004767344
1004767544	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1004767544
1004781247	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004781247
1004784789	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1004784789
1004785005	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1004785005
1004804909	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004804909
1004809187	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004809187
1004809388	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004809388
1004822354	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004822354
1004826298	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004826298
1004826499	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004826499
1004836458	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004836458
1004840680	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004840680
1004840881	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004840881
1004854371	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004854371
1004854575	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1004854575
1004858182	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004858182
1004858383	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004858383
1004866804	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004866804
1004867007	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1004867007
1004870479	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004870479
1004870680	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004870680
1004915128	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004915128
1004915347	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1004915347
1004919010	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004919010
1004919211	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004919211
1004928830	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004928830
1004929034	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1004929034
1004932843	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004932843
1004933043	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004933043
1004940595	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004940595
1004940798	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1004940798
1004945942	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004945942
1004946143	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004946143
1004953703	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004953703
1004953904	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1004953904
1004958576	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1004958576
1004958776	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1004958776
1004967065	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1004967065
1004967265	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1004967265
1004981569	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1004981569
1004981784	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1004981784
1005005098	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005005098
1005009374	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005009374
1005009575	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1005009575
1005020805	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005020805
1005024681	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005024681
1005024883	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005024883
1005041524	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005041524
