Ver1.3	691663256	StartFile	10/29/2020	4:11:35 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\102920\B\SoundData.txt	691663256
692081291	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	692081291
692083973	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692083973
692084174	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692084174
692094201	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692094201
692094404	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	692094404
692097450	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692097450
692097652	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692097652
692105467	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692105467
692105673	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	692105673
692108221	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692108221
692108423	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692108423
692118207	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692118207
692118412	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	692118412
692121397	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692121397
692121599	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692121599
692129880	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692129880
692130084	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	692130084
692133129	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692133129
692133330	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692133330
692141492	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692141492
692141695	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	692141695
692144923	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692144923
692145125	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692145125
692152562	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692152562
692152765	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	692152765
692155991	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692155991
692156193	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692156193
692178975	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692178975
692179177	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	692179177
692182464	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692182464
692182666	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692182666
692195100	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692195100
692195303	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	692195303
692198589	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692198589
692198790	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692198790
692214713	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692214713
692214915	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	692214915
692217661	Triggered	6,47,48,49,50,51,	 NoSound	40	2	692217661
692217863	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	692217863
692237275	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692237275
692237476	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	692237476
692248287	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692248288
692252077	Triggered	2,37,38,39,40,41,	 NoSound	40	2	692252077
692252277	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	692252277
692262018	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692262018
692264711	Triggered	2,37,38,39,40,41,	 NoSound	40	2	692264711
692264912	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	692264912
692271330	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692271330
692273916	Triggered	2,37,38,39,40,41,	 NoSound	40	2	692273916
692274119	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	692274119
692280896	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692280896
692281099	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692281099
692283784	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692283784
692283985	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692283985
692294026	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692294026
692294229	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692294229
692297202	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692297202
692297404	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692297404
692305203	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692305203
692305408	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692305408
692309234	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692309234
692309436	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692309436
