Ver1.3	395045919	StartFile	7/3/2020	1:03:09 PM	E:\BehavioralExperiments\Twenty\RawData\070320\SoundData.txt	395045919
395380786	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395380786
395389149	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395389149
395477052	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395477052
395489749	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395489749
395506534	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395506534
395523441	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395523441
395563931	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395563931
395576992	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395576992
395589562	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395589562
395600874	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395600874
395608109	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395608109
395615976	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395615976
395623255	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395623255
395632461	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395632461
395641969	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395641969
395677765	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395677765
395690219	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395690219
395697500	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395697500
395711459	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395711459
395718197	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395718197
395730771	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395730771
395740458	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395740458
395752498	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395752498
395760133	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395760133
395772234	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395772234
395779807	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395779807
395788591	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395788591
395799903	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395799903
395809408	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395809408
395822713	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395822713
395831368	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395831368
395842318	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395842318
395850802	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395850802
395858022	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395858022
395874388	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395874388
395911149	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395911149
395918368	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395918368
395925708	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395925708
395935817	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395935817
395947369	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	395947369
395959402	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	395959402
395967163	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395967163
395979436	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	395979436
395992252	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	395992252
396003503	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	396003503
396014217	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	396014217
396022096	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	396022096
396034309	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	396034309
396045206	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	396045206
396064751	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	396064751
396209272	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	396209272
396442293	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	396442293
396454026	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	396454026
396720620	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	396720620
396769239	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	396769239
