Ver1.3	37982931	StartFile	6/29/2020	9:52:06 AM	E:\BehavioralExperiments\Gerald\RawData\062920\SoundData.txt	37982931
38531235	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	38531235
38640591	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	38640591
38829076	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	38829076
38964362	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	38964362
39090291	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	39090291
39116827	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	39116827
39142627	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	39142627
39206192	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	39206192
39255921	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	39255921
39314345	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	39314345
39334728	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	39334728
39461993	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	39461993
39546681	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	39546681
39568539	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	39568539
40036225	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	40036225
40095311	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	40095311
40201054	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	40201054
40295968	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	40295968
40332931	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	40332931
40382928	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	40382928
40492680	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	40492680
40545953	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	40545953
40584654	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	40584654
40659384	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	40659384
40704183	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	40704183
41123927	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	41123927
41163029	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	41163029
41209217	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	41209217
41339758	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	41339758
41356333	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	41356333
41384273	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	41384273
41405595	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	41405595
