Ver1.3	2086839357	StartFile	8/18/2020	3:44:58 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\081820B\SoundData.txt	2086839357
2087276752	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087276752
2087276965	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	2087276965
2087295933	Triggered	6,47,48,49,50,51,	 NoSound	40	2	2087295933
2087296136	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	2087296136
2087308099	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2087308099
2087308300	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	2087308300
2087312043	Triggered	4,42,43,44,45,46,	 NoSound	40	2	2087312043
2087312243	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	2087312243
2087324608	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2087324608
2087324808	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	2087324808
2087338644	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087338644
2087341652	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087341652
2087341852	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087341852
2087355830	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087355830
2087356033	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	2087356033
2087358631	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087358631
2087358831	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087358831
2087371797	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087371797
2087372000	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	2087372000
2087374412	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087374412
2087374619	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087374619
2087388107	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087388107
2087388308	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	2087388308
2087390713	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087390713
2087390913	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087390913
2087405954	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087405954
2087406156	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	2087406156
2087408695	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087408695
2087408908	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087408908
2087422663	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087422663
2087422865	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	2087422865
2087425070	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087425070
2087425271	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087425272
2087437369	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087437369
2087437571	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	2087437571
2087439842	Triggered	8,52,53,54,55,56,	 NoSound	40	2	2087439842
2087440044	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	2087440044
2087454954	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	2087454954
2087455155	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	2087455155
2087470061	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	2087470061
