Ver1.3	1195823954	StartFile	11/4/2020	12:14:15 PM	E:\BehavioralExperiments\Bobo\RawData\110420\SoundData.txt	1195823954
1196463313	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1196463313
1196463515	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1196463515
1196489241	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1196489241
1196506953	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1196506953
1196507154	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1196507154
1196524934	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1196524934
1196539919	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1196539919
1196540121	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1196540121
1196601132	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1196601132
1196960269	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1196960269
1196960470	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1196960470
1197079378	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1197079378
1197497133	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1197497133
1197497346	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1197497346
1197518322	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1197518322
1197518526	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1197518526
1197862151	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1197862151
1197862353	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1197862353
1197968498	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1197968498
1197968702	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1197968702
1198215805	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1198215805
1198216020	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1198216020
1198233993	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1198233993
1198234198	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1198234198
1198313060	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1198313060
1198313262	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1198313262
1198325558	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1198325558
1198325760	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1198325760
1198646862	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1198646862
1198647064	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1198647065
1198672929	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1198672929
1198673130	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1198673130
1198692045	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1198692045
1198692247	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1198692247
1198715041	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1198715041
1198715243	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1198715243
1198752873	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1198752873
1198753074	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1198753074
1198813963	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1198813963
1198814164	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1198814164
1198842504	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1198842504
1198848321	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1198848321
1198848524	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1198848524
1198874322	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1198874322
1198880684	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1198880684
1198880885	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1198880885
