Ver1.3	1551190544	StartFile	8/12/2020	10:57:29 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\081220A\SoundData.txt	1551190544
1551621913	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551621913
1551622114	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1551622114
1551642100	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1551642100
1551645843	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1551645843
1551646044	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1551646044
1551661752	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1551661752
1551661954	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1551661954
1551664692	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1551664692
1551664907	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1551664907
1551679798	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1551679798
1551679999	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1551679999
1551691162	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551691162
1551694703	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1551694703
1551694904	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1551694904
1551705197	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551705197
1551705402	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1551705402
1551708806	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1551708806
1551715223	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551715223
1551715427	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1551715427
1551719099	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1551719099
1551719299	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1551719299
1551730061	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551730061
1551730264	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1551730264
1551734139	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1551734139
1551734340	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1551734340
1551744298	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551744298
1551744500	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1551744500
1551747841	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1551747841
1551748041	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1551748041
1551755995	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551755995
1551756198	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1551756198
1551759805	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1551759805
1551764952	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551764952
1551765154	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1551765154
1551768562	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1551768562
1551768763	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1551768763
1551778253	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1551778253
1551778455	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1551778455
1551790285	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1551790285
