Ver1.3	103758953	StartFile	7/26/2020	4:53:37 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072620A\SoundData.txt	103758953
104226809	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104226809
104227012	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104227012
104230358	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104230358
104230558	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104230558
104239743	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104239743
104239947	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104239947
104243052	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104243052
104243254	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104243254
104252257	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104252257
104252460	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104252460
104255687	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104255687
104255889	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104255889
104265434	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104265434
104265639	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104265639
104268864	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104268864
104269065	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104269065
104279996	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104279996
104280199	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104280199
104283304	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104283304
104283505	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104283505
104293291	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104293291
104293493	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104293493
104296543	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104296543
104296744	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104296744
104306407	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104306407
104306611	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104306611
104309656	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104309656
104309857	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104309857
104319164	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104319164
104319368	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104319368
104322472	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104322472
104322674	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104322674
104331075	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104331075
104331280	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104331280
104334508	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104334508
104334710	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104334710
104343048	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104343048
104343251	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	104343251
104346299	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104346299
104346515	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104346515
104355683	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104355683
104355887	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	104355887
104359173	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104359173
104359385	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104359385
104369762	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104369762
