Ver1.3	430142375	StartFile	7/30/2020	11:33:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\073020A\SoundData.txt	430142375
430627236	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	430627236
430635586	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430635586
430635787	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	430635787
430638400	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430638400
430638600	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430638600
430645078	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430645078
430645281	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	430645281
430647551	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430647551
430647752	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430647752
430653300	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430653300
430653515	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	430653515
430666200	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430666200
430668941	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430668941
430669143	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430669143
430681172	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430681172
430681374	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430681374
430685986	Triggered	2,37,38,39,40,41,	 NoSound	40	2	430685986
430690931	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430690931
430691135	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430691135
430696010	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430696010
430696224	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430696224
430703706	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430703706
430703909	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430703909
