Ver1.2	1022288310	StartFile	4/28/2020	12:50:46 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\042820\SoundData.txt	1022288310
1022657135	Triggered	8	 NoSound	50	2	1022657135
1022663064	Triggered	1	 Modulated Tone	25	2	1022663064
1022685262	Triggered	4	 NoSound	50	2	1022685262
1022693745	Triggered	3	 NoSound	50	2	1022693745
1022699830	Triggered	5	 Modulated Tone	25	2	1022699830
1022751561	Triggered	1	 Modulated Tone	25	2	1022751561
1022757311	Triggered	4	 NoSound	50	2	1022757311
1022779368	Triggered	1	 Modulated Tone	25	2	1022779368
1022821210	Triggered	4	 NoSound	50	2	1022821210
1022828631	Triggered	1	 Modulated Tone	25	2	1022828631
1022834581	Triggered	6	 NoSound	50	2	1022834581
1022855232	Triggered	1	 Modulated Tone	25	2	1022855232
1022861918	Triggered	6	 NoSound	50	2	1022861918
1022871074	Triggered	7	 NoSound	50	2	1022871074
1022877892	Triggered	1	 Modulated Tone	25	2	1022877892
1022884443	Triggered	6	 NoSound	50	2	1022884443
1022897743	Triggered	1	 Modulated Tone	25	2	1022897743
1022902690	Triggered	4	 NoSound	50	2	1022902690
1022910109	Triggered	1	 Modulated Tone	25	2	1022910109
1022915522	Triggered	6	 NoSound	50	2	1022915522
1022925751	Triggered	1	 Modulated Tone	25	2	1022925751
1022932501	Triggered	6	 NoSound	50	2	1022932501
1022942928	Triggered	1	 Modulated Tone	25	2	1022942928
1022950547	Triggered	5	 Modulated Tone	25	2	1022950547
1022955092	Triggered	8	 NoSound	50	2	1022955092
1022964851	Triggered	5	 Modulated Tone	25	2	1022964851
1022971067	Triggered	8	 NoSound	50	2	1022971067
1022981495	Triggered	5	 Modulated Tone	25	2	1022981495
1022987109	Triggered	8	 NoSound	50	2	1022987109
1022997336	Triggered	5	 Modulated Tone	25	2	1022997336
1023002216	Triggered	2	 NoSound	50	2	1023002216
1023017053	Triggered	5	 Modulated Tone	25	2	1023017053
1023020999	Triggered	2	 NoSound	50	2	1023020999
1023037041	Triggered	5	 Modulated Tone	25	2	1023037041
1023041584	Triggered	2	 NoSound	50	2	1023041584
1023055354	Triggered	5	 Modulated Tone	25	2	1023055354
1023059098	Triggered	2	 NoSound	50	2	1023059098
1023074071	Triggered	5	 Modulated Tone	25	2	1023074071
1023078147	Triggered	2	 NoSound	50	2	1023078147
1023092584	Triggered	5	 Modulated Tone	25	2	1023092584
1023097596	Triggered	8	 NoSound	50	2	1023097596
1023105618	Triggered	5	 Modulated Tone	25	2	1023105618
1023127009	Triggered	1	 Modulated Tone	25	2	1023127009
1023130884	Triggered	4	 NoSound	50	2	1023130884
1023140510	Triggered	1	 Modulated Tone	25	2	1023140510
1023150670	Triggered	4	 NoSound	50	2	1023150670
1023156818	Triggered	1	 Modulated Tone	25	2	1023156818
1023161898	Triggered	4	 NoSound	50	2	1023161898
1023167913	Triggered	1	 Modulated Tone	25	2	1023167913
1023172127	Triggered	6	 NoSound	50	2	1023172127
1023189101	Triggered	1	 Modulated Tone	25	2	1023189101
1023193246	Triggered	6	 NoSound	50	2	1023193246
1023207216	Triggered	1	 Modulated Tone	25	2	1023207216
1023210959	Triggered	6	 NoSound	50	2	1023210959
1023225799	Triggered	1	 Modulated Tone	25	2	1023225799
1023230010	Triggered	6	 NoSound	50	2	1023230010
1023241773	Triggered	1	 Modulated Tone	25	2	1023241773
1023246253	Triggered	6	 NoSound	50	2	1023246253
1023258619	Triggered	1	 Modulated Tone	25	2	1023258619
1023262632	Triggered	6	 NoSound	50	2	1023262632
1023273456	Triggered	1	 Modulated Tone	25	2	1023273456
1023281213	Triggered	5	 Modulated Tone	25	2	1023281213
1023284686	Triggered	2	 NoSound	50	2	1023284686
1023293107	Triggered	5	 Modulated Tone	25	2	1023293107
1023323051	Triggered	2	 NoSound	50	2	1023323051
1023331207	Triggered	5	 Modulated Tone	25	2	1023331207
1023335955	Triggered	2	 NoSound	50	2	1023335955
1023345043	Triggered	5	 Modulated Tone	25	2	1023345043
1023348451	Triggered	8	 NoSound	50	2	1023348451
1023359881	Triggered	5	 Modulated Tone	25	2	1023359881
1023362828	Triggered	8	 NoSound	50	2	1023362828
1023375320	Triggered	5	 Modulated Tone	25	2	1023375320
1023378328	Triggered	8	 NoSound	50	2	1023378328
1023393368	Triggered	5	 Modulated Tone	25	2	1023393368
1023397112	Triggered	8	 NoSound	50	2	1023397112
1023420906	Triggered	5	 Modulated Tone	25	2	1023420906
1023424247	Triggered	8	 NoSound	50	2	1023424247
1023436286	Triggered	5	 Modulated Tone	25	2	1023436286
1023439423	Triggered	8	 NoSound	50	2	1023439423
1023458071	Triggered	5	 Modulated Tone	25	2	1023458071
1023464420	Triggered	1	 Modulated Tone	25	2	1023464420
1023467831	Triggered	4	 NoSound	50	2	1023467831
1023477790	Triggered	1	 Modulated Tone	25	2	1023477790
1023481063	Triggered	4	 NoSound	50	2	1023481063
1023490421	Triggered	1	 Modulated Tone	25	2	1023490421
1023494097	Triggered	4	 NoSound	50	2	1023494097
1023505393	Triggered	1	 Modulated Tone	25	2	1023505393
1023509405	Triggered	6	 NoSound	50	2	1023509405
1023517224	Triggered	1	 Modulated Tone	25	2	1023517224
1023522170	Triggered	4	 NoSound	50	2	1023522170
1023531529	Triggered	1	 Modulated Tone	25	2	1023531529
1023536006	Triggered	4	 NoSound	50	2	1023536006
1023545900	Triggered	1	 Modulated Tone	25	2	1023545900
1023549646	Triggered	4	 NoSound	50	2	1023549646
1023558664	Triggered	1	 Modulated Tone	25	2	1023558664
1023562275	Triggered	4	 NoSound	50	2	1023562275
1023572169	Triggered	1	 Modulated Tone	25	2	1023572169
1023575911	Triggered	4	 NoSound	50	2	1023575911
1023586338	Triggered	1	 Modulated Tone	25	2	1023586338
1023590949	Triggered	5	 Modulated Tone	25	2	1023590949
1023595834	Triggered	2	 NoSound	50	2	1023595834
1023613140	Triggered	5	 Modulated Tone	25	2	1023613140
1023616417	Triggered	2	 NoSound	50	2	1023616417
1023631456	Triggered	5	 Modulated Tone	25	2	1023631456
1023634931	Triggered	2	 NoSound	50	2	1023634931
1023648366	Triggered	5	 Modulated Tone	25	2	1023648366
1023652043	Triggered	8	 NoSound	50	2	1023652043
