Ver1.2	278501657	StartFile	4/19/2020	10:14:20 PM	E:\BehavioralExperiments\Hachi\RawData\041920D\SoundData.txt	278501657
279573335	Triggered	5	 Modulated Tone	25	2	279573335
279576350	Triggered	8	 NoSound	50	2	279576350
279585172	Triggered	5	 Modulated Tone	25	2	279585172
279588848	Triggered	8	 NoSound	50	2	279588848
279601677	Triggered	5	 Modulated Tone	25	2	279601677
279605829	Triggered	8	 NoSound	50	2	279605829
279614581	Triggered	5	 Modulated Tone	25	2	279614581
279617523	Triggered	2	 NoSound	50	2	279617523
279633827	Triggered	5	 Modulated Tone	25	2	279633827
279636574	Triggered	2	 NoSound	50	2	279636574
279649800	Triggered	5	 Modulated Tone	25	2	279649800
279652408	Triggered	2	 NoSound	50	2	279652408
279666845	Triggered	5	 Modulated Tone	25	2	279666845
279669720	Triggered	2	 NoSound	50	2	279669720
279684497	Triggered	5	 Modulated Tone	25	2	279684497
279687366	Triggered	2	 NoSound	50	2	279687366
279702403	Triggered	5	 Modulated Tone	25	2	279702403
279705412	Triggered	2	 NoSound	50	2	279705412
279718321	Triggered	5	 Modulated Tone	25	2	279718321
279721988	Triggered	1	 Modulated Tone	25	2	279721988
279724864	Triggered	4	 NoSound	50	2	279724864
279738371	Triggered	1	 Modulated Tone	25	2	279738371
279740904	Triggered	4	 NoSound	50	2	279740904
279755543	Triggered	1	 Modulated Tone	25	2	279755543
279758087	Triggered	4	 NoSound	50	2	279758087
279773657	Triggered	1	 Modulated Tone	25	2	279773657
279776269	Triggered	4	 NoSound	50	2	279776269
279791246	Triggered	1	 Modulated Tone	25	2	279791246
279794114	Triggered	4	 NoSound	50	2	279794114
279809017	Triggered	1	 Modulated Tone	25	2	279809017
279811828	Triggered	4	 NoSound	50	2	279811828
279825999	Triggered	1	 Modulated Tone	25	2	279825999
279828868	Triggered	4	 NoSound	50	2	279828868
279842644	Triggered	1	 Modulated Tone	25	2	279842644
279845325	Triggered	4	 NoSound	50	2	279845325
279859286	Triggered	1	 Modulated Tone	25	2	279859286
